rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	strmgCAMI2_short_read_sample_9	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_1	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_10	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_11	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_12	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_13	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_14	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_15	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_16	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_17	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_8	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_19	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_2	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_20	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_3	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_4	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_5	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_6	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_7	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
superkingdom	strmgCAMI2_short_read_sample_18	0.01900981706910629	0.9465640914863716	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
phylum	strmgCAMI2_short_read_sample_16	0.01900981706910629	0.9465640914863716	0.07534797909092043	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.6883646019648111	0.4965500987890691	0.03767398954546022
phylum	strmgCAMI2_short_read_sample_15	0.01900981706910629	0.9465640914863716	0.2012116078985874	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.5772233806053361	0.41637865434224053	0.1006058039492937
phylum	strmgCAMI2_short_read_sample_14	0.01900981706910629	0.9465640914863716	0.27212605167137727	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.5709094888911646	0.41182414420986796	0.13606302583568863
phylum	strmgCAMI2_short_read_sample_10	0.01900981706910629	0.9465640914863716	0.056922910162387284	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.7405728616585819	0.5342103974658923	0.028461440850473214
phylum	strmgCAMI2_short_read_sample_12	0.01900981706910629	0.9465640914863716	0.054516212045876686	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.7555832519435989	0.5450381052788932	0.027258106022938343
phylum	strmgCAMI2_short_read_sample_11	0.01900981706910629	0.9465640914863716	0.2696071318509897	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.6925260947608489	0.49955198129883854	0.13480356592549486
phylum	strmgCAMI2_short_read_sample_17	0.01900981706910629	0.9465640914863716	0.06629922149049516	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.7477850606448038	0.5394128993215556	0.0331495941704505
phylum	strmgCAMI2_short_read_sample_13	0.01900981706910629	0.9465640914863716	0.06482580026746641	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.6810350567404113	0.4912629495154626	0.03241288392729125
phylum	strmgCAMI2_short_read_sample_18	0.01900981706910629	0.9465640914863716	0.30038237680116003	0.75	1.0	0.8571428571428571	3.0	0.0	1.0	3.0	0.75	0.6671155261830947	0.6072347206236557	0.15019118840058002
phylum	strmgCAMI2_short_read_sample_3	0.01900981706910629	0.9465640914863716	0.2505023843133271	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.6754165715506505	0.4872100691551746	0.12525119215666355
phylum	strmgCAMI2_short_read_sample_2	0.01900981706910629	0.9465640914863716	0.20748214601460688	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.5085935941309288	0.3668727280402926	0.10374107300730344
phylum	strmgCAMI2_short_read_sample_20	0.01900981706910629	0.9465640914863716	0.04272039481265244	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.5985293662157694	0.43174767423295235	0.02136019740632622
phylum	strmgCAMI2_short_read_sample_4	0.01900981706910629	0.9465640914863716	0.0771989932821016	0.75	1.0	0.8571428571428571	3.0	0.0	1.0	3.0	0.75	0.650564844540299	0.5921696409649704	0.03859951594080878
phylum	strmgCAMI2_short_read_sample_5	0.01900981706910629	0.9465640914863716	0.25096099244468234	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.7326708251356674	0.5285102830136261	0.12548049622234117
phylum	strmgCAMI2_short_read_sample_6	0.01900981706910629	0.9465640914863716	0.05417226434544383	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.6039540592716531	0.4356607631179865	0.027086118629662603
phylum	strmgCAMI2_short_read_sample_7	0.01900981706910629	0.9465640914863716	0.05095869572967	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.7049744603542638	0.5085315789532348	0.025479347864835
phylum	strmgCAMI2_short_read_sample_8	0.01900981706910629	0.9465640914863716	0.1753752907858783	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.7119122915785592	0.5135361663041426	0.08768764539293915
phylum	strmgCAMI2_short_read_sample_1	0.01900981706910629	0.9465640914863716	0.20640053382526596	1.0	1.0	1.0	4.0	0.0	0.0	4.0	1.0	0.8850496974271181	0.6384284047091905	0.10320026691263298
phylum	strmgCAMI2_short_read_sample_19	0.01900981706910629	0.9465640914863716	0.06362679795766725	0.75	1.0	0.8571428571428571	3.0	0.0	1.0	3.0	0.75	0.714654547656554	0.650506602764254	0.031813398978833625
phylum	strmgCAMI2_short_read_sample_9	0.01900981706910629	0.9465640914863716	0.034440761295262405	0.75	1.0	0.8571428571428571	3.0	0.0	1.0	3.0	0.75	0.7049974706799372	0.6417163524855825	0.01722038925782583
class	strmgCAMI2_short_read_sample_1	0.01900981706910629	0.9465640914863716	0.20640153382526585	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.9073298820988335	0.5637557529178591	0.10320081851304219
class	strmgCAMI2_short_read_sample_9	0.01900981706910629	0.9465640914863716	0.0346247612952624	0.6	1.0	0.7499999999999999	3.0	0.0	2.0	3.0	0.6	0.7049974706799372	0.6417163524855825	0.01731238930382585
class	strmgCAMI2_short_read_sample_8	0.01900981706910629	0.9465640914863716	0.17537529078587835	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.7710964734852598	0.47910917689211135	0.08768764539293918
class	strmgCAMI2_short_read_sample_7	0.01900981706910629	0.9465640914863716	0.05105469572966996	0.8	1.0	0.888888888888889	4.0	0.0	1.0	4.0	0.8	0.7049744603542638	0.5085315789532348	0.025527347864834977
class	strmgCAMI2_short_read_sample_6	0.01900981706910629	0.9465640914863716	0.054172264345443887	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.6284534181156584	0.390480063418657	0.02708611862966263
class	strmgCAMI2_short_read_sample_5	0.01900981706910629	0.9465640914863716	0.25096199244468254	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.7375813768605723	0.45828507652405215	0.12548105896287073
class	strmgCAMI2_short_read_sample_4	0.01900981706910629	0.9465640914863716	0.07719799328210168	0.8	1.0	0.888888888888889	4.0	0.0	1.0	4.0	0.8	0.6672318611319041	0.4813060485890558	0.03859899664105084
class	strmgCAMI2_short_read_sample_20	0.01900981706910629	0.9465640914863716	0.04272039481265236	1.0	1.0	1.0	5.0	0.0	0.0	5.0	1.0	0.6132918279526394	0.3810596377868979	0.02136019740632618
