#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/jimshawster/miniconda3/envs/mpa4/bin/metaphlan ./504-507-reads/ERR8610125_1.fastq.gz,./504-507-reads/ERR8610125_2.fastq.gz --bowtie2out ./metaphlan_out/ERR8610125.bowtie2.bz2 --nproc 20 --input_type fastq -o ./metaphlan_out/ERR8610125_res.txt
#21775931 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.69326	
k__Archaea	2157	0.30674	
k__Bacteria|p__Firmicutes	2|1239	44.12113	
k__Bacteria|p__Bacteroidetes	2|976	39.97095	
k__Bacteria|p__Actinobacteria	2|201174	12.30885	
k__Bacteria|p__Proteobacteria	2|1224	3.23487	
k__Archaea|p__Euryarchaeota	2157|28890	0.18546	
k__Archaea|p__Thaumarchaeota	2157|651137	0.12129	
k__Bacteria|p__Synergistetes	2|508458	0.03076	
k__Bacteria|p__Lentisphaerae	2|256845	0.0267	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	36.91025	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	22.70622	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	7.821	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	6.58529	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.52328	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.94573	
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	3.68035	
k__Bacteria|p__Bacteroidetes|c__CFGB11479	2|976|	2.75079	
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.9928	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.97879	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.69936	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.65052	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.54422	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.47857	
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	0.30239	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.19093	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.18546	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.13651	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.12129	
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.08362	
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.06857	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.06715	
k__Bacteria|p__Firmicutes|c__CFGB15209	2|1239|	0.06577	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.03076	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.0267	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.02331	
k__Bacteria|p__Firmicutes|c__CFGB3009	2|1239|	0.02331	
k__Bacteria|p__Firmicutes|c__CFGB76388	2|1239|	0.01897	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.01775	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.01762	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.01733	
k__Bacteria|p__Actinobacteria|c__CFGB10299	2|201174|	0.00935	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.00842	
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2|976|117747	0.00751	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.00458	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.00413	
k__Bacteria|p__Firmicutes|c__CFGB75922	2|1239|	0.00246	
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.00179	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	36.91025	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	22.48765	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	7.821	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	6.51655	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.48607	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	3.68035	
k__Bacteria|p__Bacteroidetes|c__CFGB11479|o__OFGB11479	2|976||	2.75079	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	2.34951	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	2.28291	
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.9928	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.97879	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.69936	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.54656	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.54422	
k__Bacteria|p__Firmicutes|c__CFGB2840|o__OFGB2840	2|1239||	0.47857	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.31331	
k__Bacteria|p__Bacteroidetes|c__CFGB4405|o__OFGB4405	2|976||	0.30239	
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.19093	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.18546	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.15605	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.13651	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales	2157|651137||31932	0.12129	
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.08362	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.06977	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.06874	
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	0.06857	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.06715	
k__Bacteria|p__Firmicutes|c__CFGB15209|o__OFGB15209	2|1239||	0.06577	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.06252	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.03721	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.03076	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.0267	
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.02331	
k__Bacteria|p__Firmicutes|c__CFGB3009|o__OFGB3009	2|1239||	0.02331	
k__Bacteria|p__Firmicutes|c__CFGB76388|o__OFGB76388	2|1239||	0.01897	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.01839	
k__Bacteria|p__Firmicutes|c__CFGB1211|o__OFGB1211	2|1239||	0.01775	
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.01762	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.01733	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.01581	
k__Bacteria|p__Actinobacteria|c__CFGB10299|o__OFGB10299	2|201174||	0.00935	
k__Bacteria|p__Firmicutes|c__CFGB3047|o__OFGB3047	2|1239||	0.00842	
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.00751	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.00458	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.00413	
k__Bacteria|p__Firmicutes|c__CFGB75922|o__OFGB75922	2|1239||	0.00246	
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	2|1239||	0.00179	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	14.20345	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	11.54381	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	10.02571	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	9.29453	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	2|1239|526524|526525|2810280	7.81078	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	6.96642	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	6.51655	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	4.83474	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806|f__FGB4806	2|1239|||	3.68035	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	3.27335	
k__Bacteria|p__Bacteroidetes|c__CFGB11479|o__OFGB11479|f__FGB11479	2|976|||	2.75079	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	2.34951	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	2.28291	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	1.57075	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	1.08644	
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783	2|1239|||	0.9928	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.97879	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.72093	
