Genome	SRR19064322_1.fastq.gz Mean
GCF_000425045.1_genomic	0.04415014
GCF_001881565.1_genomic	0.50511926
GCF_003425665.1_genomic	4.6741996
GCF_900086585.1_genomic	0.96286607
GCA_019420265.1_genomic	0.30500096
GCF_000157995.1_genomic	0.38707575
GCF_000012845.1_genomic	7.219176
GCA_001941065.1_genomic	0.38934106
GCA_000435195.1_genomic	5.280142
GCF_005121165.3_genomic	6.476839
GCF_003477605.1_genomic	4.472051
GCF_001404655.1_genomic	2.2286572
GCF_015140235.1_genomic	1.0353525
GCA_003150485.1_genomic	2.4329774
GCF_900167555.1_genomic	11.662273
GCA_017161075.1_genomic	0.24318989
GCF_900209925.1_genomic	1.5529114
GCA_900199405.1_genomic	0.12761572
GCF_015557635.1_genomic	20.824577
GCF_000160055.1_genomic	25.547215
GCA_003480725.1_genomic	2.2843738
GCF_010669225.1_genomic	4.4732323
GCA_000020605.1_genomic	5.5574737
GCA_900553545.1_genomic	1.4354913
GCA_000980705.1_genomic	27.740715
GCA_025150745.1_genomic	1.7481483
GCF_900106755.1_genomic	5.054574
GCF_000723465.1_genomic	117.234505
GCF_023921805.1_genomic	31.833551
GCA_900549945.1_genomic	0.7187491
GCA_900761075.1_genomic	0.10952865
GCA_018716575.1_genomic	0.24471846
GCF_018408705.1_genomic	0.9693866
GCA_904419295.1_genomic	0.14958699
GCA_004000625.1_genomic	7.3109922
GCA_905215055.1_genomic	0.21186267
GCF_000020225.1_genomic	2.4070513
GCA_025145285.1_genomic	8.75866
GCA_003112755.1_genomic	5.853573
GCF_003435375.1_genomic	3.0779243
GCF_009883055.1_genomic	1.1281003
GCA_900540805.1_genomic	4.452266
GCF_014333425.1_genomic	0.84758013
GCA_018223385.1_genomic	0.99377346
GCF_001025215.1_genomic	9.112636
GCA_900549405.1_genomic	0.7648397
GCF_000466485.1_genomic	0.07711823
GCF_000332875.2_genomic	0.5433169
GCF_004341945.1_genomic	0.6041233
GCA_900542005.1_genomic	0.6845662
GCA_900761925.1_genomic	0.12526907
GCF_020735465.1_genomic	27.174702
GCA_020555865.1_genomic	0.99175024
GCF_010120595.1_genomic	0.3632993
GCA_904397835.1_genomic	0.099003844
GCA_018712945.1_genomic	0.20675583
GCF_000016825.1_genomic	0.24766138
GCF_900120195.1_genomic	1.4122485
GCA_900543035.1_genomic	1.9445593
GCA_004340125.1_genomic	0.24654935
GCA_025148125.1_genomic	15.973205
GCF_011405655.1_genomic	0.9673368
GCF_004340975.1_genomic	1.070017
GCA_944384895.1_genomic	0.066975
GCF_023347535.1_genomic	5.9469466
GCA_003516765.1_genomic	2.4999082
GCA_904399395.1_genomic	0.25194216
GCA_003481745.1_genomic	1.4054545
GCA_014385265.1_genomic	4.1710067
