Genome	ERR527117_1.fastq.gz Mean
GCA_900755095.1_genomic	0.3096063
GCF_003425665.1_genomic	0.17090417
GCF_000012845.1_genomic	0.19415039
GCF_005121165.3_genomic	0.5364544
GCF_002834235.1_genomic	2.2356832
GCA_025144665.1_genomic	0.16785131
GCF_015557635.1_genomic	0.5452232
GCF_010669225.1_genomic	0.079262875
GCA_000020605.1_genomic	0.51544774
GCA_900542245.1_genomic	0.106996216
GCA_900553545.1_genomic	0.75776
GCA_905214375.1_genomic	0.073493175
GCA_900543445.1_genomic	0.15713787
GCF_000723465.1_genomic	0.18401489
GCF_023921805.1_genomic	0.5135945
GCA_025151045.1_genomic	0.30990997
GCF_003464595.1_genomic	0.49687004
GCF_019967995.1_genomic	0.8917933
GCA_900544115.1_genomic	0.19283207
GCA_004000625.1_genomic	1.5265524
GCA_000803105.1_genomic	0.119661115
GCA_025145285.1_genomic	0.6471107
GCA_003112755.1_genomic	0.1579197
GCF_001025215.1_genomic	1.674884
GCA_001917175.1_genomic	0.17627457
GCA_900543625.1_genomic	0.48651794
GCA_900556625.1_genomic	0.17523532
GCA_900539115.1_genomic	0.095628455
GCF_009557455.1_genomic	0.4495802
GCA_018715295.1_genomic	0.10188517
GCF_018918025.1_genomic	0.8902156
GCA_025148125.1_genomic	0.33056948
GCA_944383925.1_genomic	0.062646925
GCF_000010425.1_genomic	0.22973014
GCA_025150085.1_genomic	0.15487361
GCA_000432375.1_genomic	0.28890058
GCA_900552475.1_genomic	0.18410465
GCA_003514385.1_genomic	1.6733534
GCF_023336935.1_genomic	1.6512259
GCF_000239295.1_genomic	0.20008092
GCA_934615635.1_genomic	0.06430156
GCF_012843875.1_genomic	0.2588311
GCA_000432135.1_genomic	1.8267155
GCF_003697165.2_genomic	0.32817197
GCF_000381365.1_genomic	0.12904404
GCA_025147325.1_genomic	1.4575565
GCF_004154955.1_genomic	0.18551643
GCF_000296465.1_genomic	1.039102
GCA_900542945.1_genomic	0.10959749
GCA_900538905.1_genomic	0.73503584
GCF_000190535.1_genomic	0.4019143
GCA_900548615.1_genomic	0.45326895
GCF_003438995.1_genomic	0.036515467
GCA_001312505.1_genomic	0.24214107
GCF_000196555.1_genomic	0.1270785
GCF_003024685.1_genomic	0.25329795
GCF_008121495.1_genomic	0.27198198
GCF_018228705.1_genomic	0.23980814
GCF_013393365.1_genomic	0.060849953
GCA_900112995.1_genomic	0.49405727
GCF_014287955.1_genomic	0.68419355
GCA_003525905.1_genomic	0.33252794
GCA_000434995.1_genomic	0.0568843
GCA_900539945.1_genomic	0.35075024
GCA_000436475.1_genomic	0.30802897
GCA_003486385.1_genomic	0.857382
GCA_025144995.1_genomic	0.059099253
GCF_000765235.1_genomic	0.3887546
GCF_000382445.1_genomic	0.33479708
GCF_000785515.1_genomic	0.08324756
GCF_023347255.1_genomic	1.636873
GCA_003150615.1_genomic	0.13013586
GCF_001406815.1_genomic	0.27459523
GCF_003315195.1_genomic	0.22047178
GCA_019410105.1_genomic	0.18838541
GCA_019424245.1_genomic	0.647845
GCA_025151535.1_genomic	0.13186075
GCA_018228685.1_genomic	3.7227356
GCF_001314995.1_genomic	0.5802405
GCF_000173975.1_genomic	0.15658553
GCF_016899775.1_genomic	0.4919543
GCA_004558205.1_genomic	0.034763467
GCF_000011065.1_genomic	0.190799
GCF_000233955.1_genomic	0.2556604
GCF_000969835.1_genomic	0.11464147
GCF_000701705.1_genomic	0.3016809
GCF_000024945.1_genomic	0.06990317
GCA_025147485.1_genomic	3.5542946
GCF_009680455.1_genomic	1.1914002
GCA_025151215.1_genomic	0.79398865
GCF_014297285.1_genomic	0.78411216
GCA_900760795.1_genomic	0.8326278
GCA_025150425.1_genomic	0.41248545
GCA_900549885.1_genomic	0.13131574
GCA_025145845.1_genomic	1.5111328
GCA_900757485.1_genomic	0.08276287
GCA_000435555.1_genomic	0.49644148
GCF_003024715.1_genomic	0.41948482
GCF_001025135.1_genomic	0.296464
GCF_003437535.1_genomic	0.97382426
GCF_006542665.1_genomic	0.96415603
GCA_900539695.1_genomic	0.28458545
GCA_944387775.1_genomic	0.12568745
GCF_000210075.1_genomic	0.3775649
GCF_000153925.1_genomic	0.5704182
GCF_000154465.1_genomic	7.086365
GCA_003522945.1_genomic	0.123816274
GCA_900545585.1_genomic	0.28744334
GCF_014647335.1_genomic	0.265804
GCA_900551415.1_genomic	0.06496372
GCF_003324185.1_genomic	0.64524007
GCF_000025985.1_genomic	0.62798584
GCA_900540595.1_genomic	0.79314303
GCF_000174195.1_genomic	0.35332698
GCF_003269275.1_genomic	0.355187
GCF_010509575.1_genomic	0.65682817
GCA_900756495.1_genomic	0.15163733
GCF_020687245.1_genomic	0.615605
GCF_002222615.2_genomic	0.31225255
GCF_014337155.1_genomic	0.19344005
GCF_020564355.1_genomic	0.23968247
GCA_019421725.1_genomic	0.1492708
GCA_900547385.1_genomic	0.41913307
GCF_000012825.1_genomic	1.4902047
