Genome	SRR6468621_1.fastq.gz Mean
GCF_000180035.1_genomic	0.7467999
GCF_009911695.1_genomic	0.32041946
GCF_003478035.1_genomic	1.3427943
GCF_902364025.1_genomic	0.14029618
GCA_900539325.1_genomic	16.88498
GCF_000012845.1_genomic	0.14532731
GCA_000435195.1_genomic	0.62246966
GCF_900095865.1_genomic	0.33497226
GCF_024622975.1_genomic	1.232404
GCF_003478505.1_genomic	1.212095
GCF_005121165.3_genomic	0.88082755
GCF_006739205.1_genomic	0.2256676
GCA_017161075.1_genomic	0.8210275
GCF_001025195.1_genomic	4.1922016
GCF_900209925.1_genomic	2.7566442
GCF_015560805.1_genomic	0.31298044
GCA_025144665.1_genomic	0.3204206
GCF_015557635.1_genomic	35.636925
GCF_000160055.1_genomic	23.678648
GCA_000020605.1_genomic	16.373972
GCA_025150745.1_genomic	4.8862453
GCF_000265365.1_genomic	0.8803406
GCF_000024265.1_genomic	0.27296668
GCF_018408705.1_genomic	0.69171876
GCA_025145645.1_genomic	0.1699135
GCA_004000625.1_genomic	5.092728
GCF_018784445.1_genomic	6.5522237
GCA_900757195.1_genomic	1.537995
GCA_003112755.1_genomic	1.1701967
GCF_009883055.1_genomic	3.5854118
GCF_014333425.1_genomic	1.3374426
GCA_000433535.1_genomic	0.30331942
GCF_001025215.1_genomic	2.7121794
GCF_002959915.1_genomic	0.7509986
GCF_020215665.1_genomic	0.40116084
GCA_900547195.1_genomic	0.06506409
GCA_025148965.1_genomic	0.40262744
GCA_003573975.1_genomic	1.7241901
GCF_000332875.2_genomic	30.209171
GCF_004341945.1_genomic	0.8476371
GCA_900539115.1_genomic	11.097534
GCF_900291975.1_genomic	0.8187047
GCA_020555865.1_genomic	0.6233319
GCF_010120595.1_genomic	2.1793866
GCF_902810435.1_genomic	0.319486
GCA_003481775.1_genomic	0.49942064
GCA_025148125.1_genomic	20.441505
GCF_011405655.1_genomic	12.612571
GCF_000158035.1_genomic	0.22201543
GCF_023347535.1_genomic	6.9015875
GCF_900199375.1_genomic	1.6543049
GCA_003481745.1_genomic	11.42341
GCA_014385265.1_genomic	0.92635655
