#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/jshaw/miniforge3/envs/mpa4/bin/metaphlan --input_type fastq ERR7803603_1.fastq.gz,ERR7803603_2.fastq.gz --nproc 40 --bowtie2out results/ERR7803603.bt2 -x mpa_vOct22_CHOCOPhlAnSGB_202212 -o ERR7803603.metaphlan
#1474680086 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.63308	
k__Archaea	2157	0.36016	
k__Eukaryota	2759	0.00675	
k__Bacteria|p__Firmicutes	2|1239	37.59088	
k__Bacteria|p__Bacteroidetes	2|976	29.07988	
k__Bacteria|p__Spirochaetes	2|203691	22.00257	
k__Bacteria|p__Proteobacteria	2|1224	7.53332	
k__Bacteria|p__Lentisphaerae	2|256845	1.23133	
k__Bacteria|p__Actinobacteria	2|201174	1.21884	
k__Bacteria|p__Elusimicrobia	2|74152	0.80568	
k__Archaea|p__Candidatus_Thermoplasmatota	2157|2283796	0.18111	
k__Archaea|p__Euryarchaeota	2157|28890	0.17768	
k__Bacteria|p__Bacteria_unclassified	2|	0.11457	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.04978	
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.00675	
k__Bacteria|p__Tenericutes	2|544448	0.00431	
k__Bacteria|p__Synergistetes	2|508458	0.00189	
k__Archaea|p__Thaumarchaeota	2157|651137	0.00138	
k__Bacteria|p__Fusobacteria	2|32066	2e-05	
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	22.00257	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	20.36124	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	13.63888	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	4.9298	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	4.41101	
k__Bacteria|p__Bacteroidetes|c__CFGB658	2|976|	4.1064	
k__Bacteria|p__Bacteroidetes|c__CFGB1458	2|976|	3.35615	
k__Bacteria|p__Bacteroidetes|c__CFGB7511	2|976|	2.40137	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	2.39602	
k__Bacteria|p__Bacteroidetes|c__CFGB7603	2|976|	1.805	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	1.65016	
k__Bacteria|p__Bacteroidetes|c__CFGB11479	2|976|	1.57479	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.55349	
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	2|74152|641853	0.80568	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.66125	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.65976	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.55071	
k__Bacteria|p__Firmicutes|c__CFGB76578	2|1239|	0.50398	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.49606	
k__Bacteria|p__Proteobacteria|c__CFGB544	2|1224|	0.48097	
k__Bacteria|p__Firmicutes|c__CFGB10325	2|1239|	0.45954	
k__Bacteria|p__Bacteroidetes|c__CFGB653	2|976|	0.44868	
k__Bacteria|p__Bacteroidetes|c__CFGB72486	2|976|	0.44562	
k__Bacteria|p__Firmicutes|c__CFGB29420	2|1239|	0.43447	
k__Bacteria|p__Firmicutes|c__CFGB9581	2|1239|	0.40482	
k__Bacteria|p__Bacteroidetes|c__CFGB629	2|976|	0.38465	
k__Bacteria|p__Firmicutes|c__CFGB3237	2|1239|	0.35946	
k__Bacteria|p__Firmicutes|c__CFGB76781	2|1239|	0.33649	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.31754	
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.31489	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.28478	
k__Bacteria|p__Firmicutes|c__CFGB9629	2|1239|	0.26899	
k__Bacteria|p__Firmicutes|c__CFGB76705	2|1239|	0.24795	
k__Bacteria|p__Firmicutes|c__CFGB1838	2|1239|	0.23285	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.21763	
k__Bacteria|p__Firmicutes|c__CFGB2942	2|1239|	0.21698	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.21161	
k__Bacteria|p__Firmicutes|c__CFGB1320	2|1239|	0.20826	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.19979	
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	2157|2283796|183967	0.18111	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.17768	
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.17602	
k__Bacteria|p__Proteobacteria|c__CFGB8588	2|1224|	0.16856	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.15881	
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.14847	
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.14674	
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2|976|117747	0.14483	
k__Bacteria|p__Firmicutes|c__CFGB10314	2|1239|	0.12293	
k__Bacteria|p__Proteobacteria|c__CFGB8587	2|1224|	0.12123	
k__Bacteria|p__Firmicutes|c__CFGB8294	2|1239|	0.11869	
k__Bacteria|p__Firmicutes|c__CFGB6280	2|1239|	0.11598	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB8157	2|95818|	0.11457	
k__Bacteria|p__Firmicutes|c__CFGB3026	2|1239|	0.10795	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.10249	
k__Bacteria|p__Firmicutes|c__CFGB2889	2|1239|	0.09982	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.09805	
k__Bacteria|p__Proteobacteria|c__CFGB2401	2|1224|	0.09624	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.08902	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.07691	
k__Bacteria|p__Firmicutes|c__CFGB8331	2|1239|	0.07468	
k__Bacteria|p__Firmicutes|c__CFGB9977	2|1239|	0.07189	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.06946	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.06789	
k__Bacteria|p__Firmicutes|c__CFGB76515	2|1239|	0.06728	
k__Bacteria|p__Firmicutes|c__CFGB1772	2|1239|	0.05639	
