#mOTUs2_clade	unnamed sample
k__Bacteria	0.6842002465
k__Archaea	0.0022175148
k__Archaea|p__Euryarchaeota	0.0022175148
k__Bacteria|p__Proteobacteria	0.0063384617
k__Bacteria|p__Firmicutes	0.5728416047
k__Bacteria|p__Candidatus Melainabacteria	0.0003122436
k__Bacteria|p__Chloroflexi	0.0012400026
k__Bacteria|p__Actinobacteria	0.0146174752
k__Bacteria|p__Spirochaetes	0.0182084268
k__Bacteria|p__Fusobacteria	0.0003857216
k__Bacteria|p__Tenericutes	0.0028190432
k__Bacteria|p__Candidatus Saccharibacteria	0.0000260601
k__Bacteria|p__Bacteroidetes	0.0670700421
k__Bacteria|p__Bacteria phylum incertae sedis	0.0003411648
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0022175148
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0058274255
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0004486307
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0000624055
k__Bacteria|p__Firmicutes|c__Clostridia	0.4270279360
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.0205316373
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0187281675
k__Bacteria|p__Firmicutes|c__Bacilli	0.0541345506
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]	0.0008348668
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis	0.0515844465
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis	0.0003122436
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	0.0012400026
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0031890175
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.0114284577
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.0182084268
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.0001944765
k__Bacteria|p__Fusobacteria|c__Fusobacteria class incertae sedis	0.0001912451
k__Bacteria|p__Tenericutes|c__Mollicutes	0.0028190432
k__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Saccharibacteria class incertae sedis	0.0000260601
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.0670700421
k__Bacteria|p__Bacteria phylum incertae sedis|c__Bacteria class incertae sedis	0.0003411648
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0022175148
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.0021689041
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.0022076476
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.0014508738
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0.0004486307
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0000624055
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.4267782526
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia order incertae sedis	0.0002496834
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.0205316373
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.0023344222
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.0061618412
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.0102319041
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.0001006599
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.0540338907
k__Bacteria|p__Firmicutes|c__Firmicutes class [Clostridia/Erysipelotrichia]|o__Firmicutes order [Clostridiales/Erysipelotrichales]	0.0008348668
k__Bacteria|p__Firmicutes|c__Firmicutes class incertae sedis|o__Firmicutes order incertae sedis	0.0515844465
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis|o__Candidatus Gastranaerophilales	0.0001458285
k__Bacteria|p__Candidatus Melainabacteria|c__Candidatus Melainabacteria class incertae sedis|o__Candidatus Melainabacteria order incertae sedis	0.0001664151
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	0.0012400026
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0005321097
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0.0024438926
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Micrococcales]	0.0000864224
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria order [Actinomycetales/Streptomycetales]	0.0001265928
