#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/jshaw/miniforge3/envs/mpa4/bin/metaphlan SRR24442558_1.fastq.gz,SRR24442558_2.fastq.gz --bowtie2out SRR24442558.bowtie2.bz2 --nproc 50 --input_type fastq --unclassified_estimation -x mpa_vOct22_CHOCOPhlAnSGB_202212 -o SRR24442558_metaphlan.txt
#84876050 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	94.38931	
k__Bacteria	2	5.610694730548781	
k__Bacteria|p__Bacteroidetes	2|976	2.7450963588409194	
k__Bacteria|p__Proteobacteria	2|1224	1.866652327657819	
k__Bacteria|p__Balneolaeota	2|1936987	0.6634231327463873	
k__Bacteria|p__Firmicutes	2|1239	0.22220202662234254	
k__Bacteria|p__Planctomycetes	2|203682	0.07650911655418234	
k__Bacteria|p__Actinobacteria	2|201174	0.03133404686169578	
k__Bacteria|p__Verrucomicrobia	2|74201	0.0054777212654347745	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	1.5782283932697554	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	1.5580960984376002	
k__Bacteria|p__Bacteroidetes|c__Saprospiria	2|976|1937959	0.791586549267894	
k__Bacteria|p__Balneolaeota|c__CFGB7584	2|1936987|	0.6634231327463873	
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2|976|768503	0.3954131500659523	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.22220202662234254	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.18426475313226393	
k__Bacteria|p__Proteobacteria|c__CFGB76190	2|1224|	0.06339131227415928	
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.04715732814078945	
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	2|201174|84992	0.03133404686169578	
k__Bacteria|p__Planctomycetes|c__CFGB41773	2|203682|	0.028595466763714918	
k__Bacteria|p__Proteobacteria|c__CFGB2312	2|1224|	0.014030103243210282	
k__Bacteria|p__Proteobacteria|c__CFGB26565	2|1224|	0.012514093527016	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.0054777212654347745	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.0033097488215507263	
k__Bacteria|p__Planctomycetes|c__Planctomycetes_unclassified	2|203682|	0.0007563216496779757	
k__Bacteria|p__Proteobacteria|c__CFGB32977	2|1224|	4.8813044155774396e-05	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	1.5580960984376002	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2|1224|28211|204455	1.4324569334753676	
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales	2|976|1937959|1936988	0.791586549267894	
k__Bacteria|p__Balneolaeota|c__CFGB7584|o__OFGB7584	2|1936987||	0.6634231327463873	
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	2|976|768503|768507	0.3954131500659523	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.22220202662234254	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	2|1224|1236|1706369	0.07770082811495091	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.07172263287955118	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	2|1224|1236|135622	0.0683489221380722	
k__Bacteria|p__Proteobacteria|c__CFGB76190|o__OFGB76190	2|1224||	0.06339131227415928	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	2|1224|28211|362534	0.042718146469979255	
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	2|201174|84992|84993	0.03133404686169578	
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.030258476681849576	
k__Bacteria|p__Planctomycetes|c__CFGB41773|o__OFGB41773	2|203682||	0.028595466763714918	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.02821450059151066	
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales	2|203682|203683|2691354	0.016898851458939875	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified	2|1224|1236|	0.015256601111308245	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	0.014618104050971794	
k__Bacteria|p__Proteobacteria|c__CFGB2312|o__OFGB2312	2|1224||	0.014030103243210282	
k__Bacteria|p__Proteobacteria|c__CFGB26565|o__OFGB26565	2|1224||	0.012514093527016	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.007791010702840038	
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	2|74201|414999|415001	0.0054777212654347745	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	0.0033097488215507263	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	2|1224|28211|255473	0.003116179853346793	
k__Bacteria|p__Planctomycetes|c__Planctomycetes_unclassified|o__Planctomycetes_unclassified	2|203682||	0.0007563216496779757	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	2|1224|1236|135623	0.0003422523785634757	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	2|1224|1236|135619	0.00020647356608419516	
k__Bacteria|p__Proteobacteria|c__CFGB32977|o__OFGB32977	2|1224||	4.8813044155774396e-05	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	2|976|117743|200644|49546	1.5258418976400943	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	2|1224|28211|204455|31989	1.3106667050982912	
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Haliscomenobacteraceae	2|976|1937959|1936988|1937961	0.791586549267894	
k__Bacteria|p__Balneolaeota|c__CFGB7584|o__OFGB7584|f__FGB7584	2|1936987|||	0.6634231327463873	
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae	2|976|768503|768507|563798	0.387118298976309	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.22220202662234254	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Roseobacteraceae	2|1224|28211|204455|2854170	0.12082126139711051	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Halieaceae	2|1224|1236|1706369|1706372	0.07770082811495091	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Kaistiaceae	2|1224|28211|356|2831111	0.07097079978565765	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae	2|1224|1236|135622|267888	0.06790848260172412	
k__Bacteria|p__Proteobacteria|c__CFGB76190|o__OFGB76190|f__FGB76190	2|1224|||	0.06339131227415928	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales|f__Kordiimonadales_unclassified	2|1224|28211|362534|	0.042718146469979255	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Schleiferiaceae	2|976|117743|200644|1333713	0.03225420079750578	
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae	2|201174|84992|84993|2448023	0.03133404686169578	
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae	2|203682|203683|112|126	0.030258476681849576	
