rank	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
superkingdom	marmgCAMI2_short_read_sample_9	0.010903953047618946	0.36183516115397124	0.025041000000000126	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.25513499857986	0.36808199720837675	0.012520506260253193
superkingdom	marmgCAMI2_short_read_sample_0	0.010903953047618946	0.36183516115397124	0.0015129999999981437	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.4122545837363372	0.5947576435401576	0.0007564958392719566
superkingdom	marmgCAMI2_short_read_sample_1	0.010903953047618946	0.36183516115397124	0.011379000000001334	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.35453137204829155	0.5114806522936303	0.005689508534263464
superkingdom	marmgCAMI2_short_read_sample_2	0.010903953047618946	0.36183516115397124	0.006537000000000486	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.37687004456586903	0.5437085443547819	0.0032685049027575963
superkingdom	marmgCAMI2_short_read_sample_3	0.010903953047618946	0.36183516115397124	0.009960999999999274	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.35038565147139294	0.5054996417764274	0.004980497509750884
superkingdom	marmgCAMI2_short_read_sample_8	0.010903953047618946	0.36183516115397124	0.012203999999999625	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.3559205024548655	0.5134847438423427	0.0061019816940547315
superkingdom	marmgCAMI2_short_read_sample_5	0.010903953047618946	0.36183516115397124	0.030565000000000467	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.273308363579976	0.3943006207703092	0.015282477076284615
superkingdom	marmgCAMI2_short_read_sample_6	0.010903953047618946	0.36183516115397124	0.05121800000000001	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.2939648063180252	0.42410156827089956	0.02560905121810244
superkingdom	marmgCAMI2_short_read_sample_7	0.010903953047618946	0.36183516115397124	0.048347	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.33168262653741376	0.47851688045455293	0.024173487913256044
superkingdom	marmgCAMI2_short_read_sample_4	0.010903953047618946	0.36183516115397124	0.012801999999999189	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.28229414694688015	0.4072643658722443	0.006400999999999597
phylum	marmgCAMI2_short_read_sample_0	0.010903953047618946	0.36183516115397124	0.05586299999999894	0.8823529411764706	1.0	0.9375	15.0	0.0	2.0	15.0	0.8823529411764706	1.2043493063624582	0.4447293133163754	0.027943361957150296
phylum	marmgCAMI2_short_read_sample_8	0.010903953047618946	0.36183516115397124	0.05327399999999974	0.8695652173913043	1.0	0.9302325581395349	20.0	0.0	3.0	20.0	0.8695652173913043	1.1531030253867542	0.38491524612069855	0.026637053274106426
phylum	marmgCAMI2_short_read_sample_7	0.010903953047618946	0.36183516115397124	0.0944570000000006	0.9	1.0	0.9473684210526316	18.0	0.0	2.0	18.0	0.9	1.1217010014669206	0.38808191313195683	0.047228712529206664
phylum	marmgCAMI2_short_read_sample_6	0.010903953047618946	0.36183516115397124	0.08586199999999967	0.8636363636363636	1.0	0.9268292682926829	19.0	0.0	3.0	19.0	0.8636363636363636	1.1911641331918286	0.4045470602787098	0.04293087120738623
phylum	marmgCAMI2_short_read_sample_5	0.010903953047618946	0.36183516115397124	0.0715410000000001	0.9	1.0	0.9473684210526316	18.0	0.0	2.0	18.0	0.9	1.2048577075742029	0.41685215899396666	0.03577062519718824
phylum	marmgCAMI2_short_read_sample_4	0.010903953047618946	0.36183516115397124	0.06787599999999987	0.9444444444444444	1.0	0.9714285714285714	17.0	0.0	1.0	17.0	0.9444444444444444	1.1956607818808018	0.42201579502975745	0.03393799999999994
phylum	marmgCAMI2_short_read_sample_3	0.010903953047618946	0.36183516115397124	0.05834700000000012	0.9090909090909091	1.0	0.9523809523809523	20.0	0.0	2.0	20.0	0.9090909090909091	1.280778435921671	0.4275343451843972	0.029173193681466394
phylum	marmgCAMI2_short_read_sample_2	0.010903953047618946	0.36183516115397124	0.03574900000000016	0.8636363636363636	1.0	0.9268292682926829	19.0	0.0	3.0	19.0	0.8636363636363636	1.267147349719388	0.430352728884914	0.01787443743946904
phylum	marmgCAMI2_short_read_sample_1	0.010903953047618946	0.36183516115397124	0.04737900000000025	0.9047619047619048	1.0	0.9500000000000001	19.0	0.0	2.0	19.0	0.9047619047619048	1.2905426507693833	0.4382983175744845	0.023693563446131133
phylum	marmgCAMI2_short_read_sample_9	0.010903953047618946	0.36183516115397124	0.10525300000000071	0.9047619047619048	1.0	0.9500000000000001	19.0	0.0	2.0	19.0	0.9047619047619048	1.161804319902714	0.3945757844272312	0.05262652631326349
class	marmgCAMI2_short_read_sample_0	0.010903953047618946	0.36183516115397124	0.056838999999999924	0.92	0.9583333333333334	0.9387755102040817	23.0	1.0	2.0	24.0	0.8846153846153846	1.699649493117513	0.5348082769672371	0.029548596183048517
class	marmgCAMI2_short_read_sample_9	0.010903953047618946	0.36183516115397124	0.0963460000000001	0.9310344827586207	0.9642857142857143	0.9473684210526316	27.0	1.0	2.0	28.0	0.9	1.7894050123053484	0.5370033582396369	0.049743964131228356
class	marmgCAMI2_short_read_sample_1	0.010903953047618946	0.36183516115397124	0.04710299999999989	0.9032258064516129	0.9333333333333333	0.9180327868852459	28.0	2.0	3.0	30.0	0.8484848484848485	1.8381406385101637	0.5404392724811136	0.02467263695977039
class	marmgCAMI2_short_read_sample_2	0.010903953047618946	0.36183516115397124	0.03463299999999978	0.9285714285714286	0.9285714285714286	0.9285714285714286	26.0	2.0	2.0	28.0	0.8666666666666667	1.840279803039785	0.5522709657886589	0.01791477279487101
class	marmgCAMI2_short_read_sample_3	0.010903953047618946	0.36183516115397124	0.05239099999999998	0.9354838709677419	0.9354838709677419	0.9354838709677419	29.0	2.0	2.0	31.0	0.8787878787878788	1.9404704467236091	0.565077949093448	0.02721131187806406
class	marmgCAMI2_short_read_sample_4	0.010903953047618946	0.36183516115397124	0.06349600000000014	0.9629629629629629	0.9629629629629629	0.9629629629629629	26.0	1.0	1.0	27.0	0.9285714285714286	1.8991519627930435	0.5762275379531934	0.03263961640123254
class	marmgCAMI2_short_read_sample_5	0.010903953047618946	0.36183516115397124	0.05775799999999981	0.9310344827586207	0.9310344827586207	0.9310344827586207	27.0	2.0	2.0	29.0	0.8709677419354839	1.8895566050163097	0.5611495693931648	0.030091820743235263
class	marmgCAMI2_short_read_sample_6	0.010903953047618946	0.36183516115397124	0.05937699999999993	0.9333333333333333	0.9333333333333333	0.9333333333333333	28.0	2.0	2.0	30.0	0.875	1.8228652572213382	0.5359480949413495	0.030998091886995826
class	marmgCAMI2_short_read_sample_7	0.010903953047618946	0.36183516115397124	0.06870899999999992	0.9285714285714286	0.9629629629629629	0.9454545454545454	26.0	1.0	2.0	27.0	0.896551724137931	1.738398519134503	0.5274528412087431	0.03560215989234733
class	marmgCAMI2_short_read_sample_8	0.010903953047618946	0.36183516115397124	0.04759100000000004	0.9333333333333333	0.9333333333333333	0.9333333333333333	28.0	2.0	2.0	30.0	0.875	1.6990523132061477	0.49954534316847726	0.024618254370178574
order	marmgCAMI2_short_read_sample_8	0.010903953047618946	0.36183516115397124	0.090276	0.9305555555555556	0.9571428571428572	0.943661971830986	67.0	3.0	5.0	70.0	0.8933333333333333	2.8876637170136807	0.6796909382016277	0.0463761504651177
order	marmgCAMI2_short_read_sample_7	0.010903953047618946	0.36183516115397124	0.11113	0.9545454545454546	0.9692307692307692	0.9618320610687022	63.0	2.0	3.0	65.0	0.9264705882352942	2.925434624619603	0.7008057555457093	0.05713289812319485
order	marmgCAMI2_short_read_sample_6	0.010903953047618946	0.36183516115397124	0.10543600000000004	0.9571428571428572	0.9571428571428572	0.9571428571428572	67.0	3.0	3.0	70.0	0.9178082191780822	3.0047136770116847	0.7072418599584666	0.054108812927488176
order	marmgCAMI2_short_read_sample_4	0.010903953047618946	0.36183516115397124	0.0906210000000001	0.90625	0.9830508474576272	0.943089430894309	58.0	1.0	6.0	59.0	0.8923076923076924	2.9600483953541468	0.7259402117271124	0.047180327134844637
order	marmgCAMI2_short_read_sample_9	0.010903953047618946	0.36183516115397124	0.11792599999999992	0.9193548387096774	0.9661016949152542	0.9421487603305785	57.0	2.0	5.0	59.0	0.890625	2.963824602719845	0.7268663117121271	0.0603543488029545
order	marmgCAMI2_short_read_sample_2	0.010903953047618946	0.36183516115397124	0.06164500000000003	0.9558823529411765	0.9848484848484849	0.9701492537313432	65.0	1.0	3.0	66.0	0.9420289855072463	2.933049627398927	0.7000695303069981	0.03227552813905625
order	marmgCAMI2_short_read_sample_1	0.010903953047618946	0.36183516115397124	0.07012800000000001	0.9166666666666666	0.9565217391304348	0.9361702127659574	66.0	3.0	6.0	69.0	0.88	3.068760307096111	0.7247716380691293	0.036605761461223824
order	marmgCAMI2_short_read_sample_0	0.010903953047618946	0.36183516115397124	0.09064600000000002	0.9402985074626866	0.984375	0.9618320610687023	63.0	1.0	4.0	64.0	0.9264705882352942	2.8274373248511178	0.6798549678311775	0.04731125551293094
order	marmgCAMI2_short_read_sample_3	0.010903953047618946	0.36183516115397124	0.08760800000000002	0.9324324324324325	0.9583333333333334	0.9452054794520548	69.0	3.0	5.0	72.0	0.8961038961038961	3.057817415400941	0.7150002666339691	0.04608924293231286
order	marmgCAMI2_short_read_sample_5	0.010903953047618946	0.36183516115397124	0.10098399999999998	0.9242424242424242	0.953125	0.9384615384615383	61.0	3.0	5.0	64.0	0.8840579710144928	2.9651406213151668	0.7129656116516352	0.05221218256684734
family	marmgCAMI2_short_read_sample_0	0.010903953047618946	0.36183516115397124	0.12028000000000004	0.9357798165137615	0.9714285714285714	0.9532710280373832	102.0	3.0	7.0	105.0	0.9107142857142857	3.22497356746813	0.6929525231900555	0.06320001849551589
family	marmgCAMI2_short_read_sample_9	0.010903953047618946	0.36183516115397124	0.13350099999999998	0.9489795918367347	0.9489795918367347	0.9489795918367347	93.0	5.0	5.0	98.0	0.9029126213592233	3.353915382211019	0.7315025456153287	0.06922045902931347
family	marmgCAMI2_short_read_sample_8	0.010903953047618946	0.36183516115397124	0.103256	0.9568965517241379	0.9652173913043478	0.961038961038961	111.0	4.0	5.0	115.0	0.925	3.336628521565405	0.7031983664466798	0.053450612433365324
family	marmgCAMI2_short_read_sample_7	0.010903953047618946	0.36183516115397124	0.11989099999999998	0.9519230769230769	0.9705882352941176	0.9611650485436893	99.0	3.0	5.0	102.0	0.9252336448598131	3.3186794961759194	0.7175565414446771	0.06241562975538422
family	marmgCAMI2_short_read_sample_6	0.010903953047618946	0.36183516115397124	0.11942299999999996	0.9727272727272728	0.963963963963964	0.9683257918552037	107.0	4.0	3.0	111.0	0.9385964912280702	3.4274733816852447	0.7277739466943353	0.061824827154198396
family	marmgCAMI2_short_read_sample_5	0.010903953047618946	0.36183516115397124	0.09982700000000007	0.9532710280373832	0.9532710280373832	0.9532710280373832	102.0	5.0	5.0	107.0	0.9107142857142857	3.34834618236741	0.7165565658372729	0.0521478529828288
family	marmgCAMI2_short_read_sample_4	0.010903953047618946	0.36183516115397124	0.11434600000000003	0.9405940594059405	0.95	0.9452736318407959	95.0	5.0	6.0	100.0	0.8962264150943396	3.2622336886476093	0.7083850448292738	0.06099240541979286
family	marmgCAMI2_short_read_sample_3	0.010903953047618946	0.36183516115397124	0.10368199999999997	0.9583333333333334	0.9663865546218487	0.9623430962343097	115.0	4.0	5.0	119.0	0.9274193548387096	3.446420080673652	0.7211406203755161	0.05530213971628329
family	marmgCAMI2_short_read_sample_2	0.010903953047618946	0.36183516115397124	0.076676	0.9433962264150944	0.9615384615384616	0.9523809523809524	100.0	4.0	6.0	104.0	0.9090909090909091	3.354536317279872	0.7222769121135	0.04052180089376691
family	marmgCAMI2_short_read_sample_1	0.010903953047618946	0.36183516115397124	0.07665299999999994	0.9401709401709402	0.9649122807017544	0.9523809523809523	110.0	4.0	7.0	114.0	0.9090909090909091	3.5771290944076264	0.7552743267377706	0.04027862363372004
genus	marmgCAMI2_short_read_sample_1	0.010903953047618946	0.36183516115397124	0.106304	0.9261083743842364	0.9591836734693877	0.9423558897243107	188.0	8.0	15.0	196.0	0.8909952606635071	4.154312926817719	0.7870827359827317	0.053618156250441355
genus	marmgCAMI2_short_read_sample_2	0.010903953047618946	0.36183516115397124	0.08807700000000002	0.9438775510204082	0.9487179487179487	0.9462915601023018	185.0	10.0	11.0	195.0	0.8980582524271845	3.9773586050909087	0.7542876802694549	0.04455428265313401
genus	marmgCAMI2_short_read_sample_3	0.010903953047618946	0.36183516115397124	0.11504299999999992	0.9353448275862069	0.9475982532751092	0.9414316702819957	217.0	12.0	15.0	229.0	0.889344262295082	4.158050475851228	0.7652306233427869	0.05848584383609139
