tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_0	na	0.010434993142857158	0.9617810540032459	na	0.0	0.0	na	0.0	0.0	407.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_7	na	0.00873963390476189	0.9440806956805361	na	0.0	0.0	na	0.0	0.0	407.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_6	na	0.007449789619047628	0.951980127998339	na	0.0	0.0	na	0.0	0.0	408.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_5	na	0.012281242000000008	0.9453043099775477	na	0.0	0.0	na	0.0	0.0	408.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_4	na	0.007392803047619107	0.9574749214325762	na	0.0	0.0	na	0.0	0.0	407.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_3	na	0.010757400428571406	0.9647950600607783	na	0.0	0.0	na	0.0	0.0	408.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_20	na	0.01074058914285713	0.957310317415302	na	0.0	0.0	na	0.0	0.0	408.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_2	na	0.011315209285714273	0.9608926063106383	na	0.0	0.0	na	0.0	0.0	406.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_19	na	0.01101750690476194	0.9564407188559062	na	0.0	0.0	na	0.0	0.0	406.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_8	na	0.014298006428571422	0.9516717784018054	na	0.0	0.0	na	0.0	0.0	408.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_18	na	0.010050262142857137	0.9539498593462699	na	0.0	0.0	na	0.0	0.0	407.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_16	na	0.008998041857142867	0.9558384185712588	na	0.0	0.0	na	0.0	0.0	408.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_15	na	0.008724806476190472	0.9526852114950561	na	0.0	0.0	na	0.0	0.0	407.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_14	na	0.008212681666666655	0.9552863603802279	na	0.0	0.0	na	0.0	0.0	408.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_13	na	0.00859220152380952	0.9641909058645826	na	0.0	0.0	na	0.0	0.0	408.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_12	na	0.013121474190476221	0.9609110473763953	na	0.0	0.0	na	0.0	0.0	408.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_11	na	0.014235026904761885	0.9495719393404287	na	0.0	0.0	na	0.0	0.0	408.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_10	na	0.008806482428571466	0.9553366820586823	na	0.0	0.0	na	0.0	0.0	408.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_1	na	0.010045700238095256	0.9503475383930927	na	0.0	0.0	na	0.0	0.0	408.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_17	na	0.019359111904761875	0.959041605374773	na	0.0	0.0	na	0.0	0.0	408.0	na	0.0	na	na	na
strmg_sylph_v0.5.profile	strmgCAMI2_short_read_sample_9	na	0.007362470904761909	0.9496256106375168	na	0.0	0.0	na	0.0	0.0	408.0	na	0.0	na	na	na
