#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/jimshawster/miniconda3/envs/mpa4/bin/metaphlan ERR1137151_1.fastq.gz,ERR1137151_2.fastq.gz --bowtie2out ERR1137151.bowtie2.bz2 --nproc 10 --input_type fastq -o ERR1137151_metaphlan.txt
#27195788 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.50138	
k__Archaea	2157	0.49862	
k__Bacteria|p__Firmicutes	2|1239	59.83992	
k__Bacteria|p__Bacteroidetes	2|976	31.14962	
k__Bacteria|p__Actinobacteria	2|201174	7.67979	
k__Bacteria|p__Proteobacteria	2|1224	0.82374	
k__Archaea|p__Euryarchaeota	2157|28890	0.46663	
k__Archaea|p__Thaumarchaeota	2157|651137	0.032	
k__Bacteria|p__Lentisphaerae	2|256845	0.00831	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	49.21224	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	27.47689	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.9888	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.6861	
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	3.55259	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.67265	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.88872	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.27034	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.89912	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.89553	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.6656	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.55463	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.46663	
k__Bacteria|p__Firmicutes|c__CFGB1800	2|1239|	0.46544	
k__Bacteria|p__Firmicutes|c__CFGB1422	2|1239|	0.2674	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.24975	
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.248	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.19708	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.1849	
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.13086	
k__Bacteria|p__Firmicutes|c__CFGB1798	2|1239|	0.099	
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.08975	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.06556	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.0595	
k__Bacteria|p__Bacteroidetes|c__CFGB602	2|976|	0.05141	
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.04969	
k__Bacteria|p__Bacteroidetes|c__CFGB76189	2|976|	0.04961	
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.04481	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.03838	
k__Bacteria|p__Firmicutes|c__CFGB32970	2|1239|	0.03823	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.032	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.03027	
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.02454	
k__Bacteria|p__Bacteroidetes|c__CFGB667	2|976|	0.01912	
k__Bacteria|p__Firmicutes|c__CFGB1425	2|1239|	0.01859	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.01458	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.00831	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.00639	
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.00488	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.00407	
