Read_file	Genome_file	Adjusted_ANI	Naive_ANI	ANI_5-95_percentile	Eff_cov	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov	Containment_ind	Contig_name
pac_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/021/645/GCF_000021645.1_genomic.fna.gz	100.00	95.76	101.09-101.95	0.176	0.176	0.15-0.20	1	0.282	1913/7331	NC_011661.1 Dictyoglomus turgidum DSM 6724, complete sequence
pac_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/308/215/GCF_000308215.1_genomic.fna.gz	100.00	95.42	100.79-101.44	0.179	0.179	0.16-0.19	1	0.256	2441/10453	NZ_CAJE01000026.1 Methanomassiliicoccus luminyensis B10, whole genome shotgun sequence
pac_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/017/205/GCF_000017205.1_genomic.fna.gz	100.00	92.11	99.98-101.30	0.064	0.064	0.05-0.08	1	0.103	2004/25615	NC_009656.1 Pseudomonas aeruginosa PA7, complete sequence
pac_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/022/325/GCF_000022325.1_genomic.fna.gz	100.00	96.48	100.40-100.94	0.275	0.275	0.24-0.29	1	0.346	3638/11033	NC_012034.1 Caldicellulosiruptor bescii DSM 6725, complete sequence
pac_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/015/865/GCF_000015865.1_genomic.fna.gz	100.00	94.11	100.18-101.00	0.133	0.133	0.12-0.15	1	0.165	2218/14565	NC_009012.1 Acetivibrio thermocellus ATCC 27405, complete sequence
pac_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/196/135/GCF_000196135.1_genomic.fna.gz	100.00	98.50	100.38-100.60	0.757	0.757	0.72-0.80	1	0.899	5147/8220	NC_005090.1 Wolinella succinogenes DSM 1740, complete sequence
pac_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/015/805/GCF_000015805.1_genomic.fna.gz	100.00	99.45	100.24-100.42	1.390	1.390	1.31-1.48	2	1.781	6738/7994	NC_009073.1 Pyrobaculum calidifontis JCM 11548, complete sequence
pac_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/011/205/GCF_000011205.1_genomic.fna.gz	100.00	91.04	98.88-101.63	0.050	0.050	0.03-0.08	1	0.056	576/10585	NC_003106.2 Sulfurisphaera tokodaii str. 7, complete sequence
pac_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/007/305/GCF_000007305.1_genomic.fna.gz	100.00	91.77	99.13-102.04	0.064	0.064	0.04-0.09	1	0.093	523/7489	NC_003413.1 Pyrococcus furiosus DSM 3638, complete sequence
pac_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCA/003/510/745/GCA_003510745.1_genomic.fna.gz	100.00	98.85	100.13-100.34	1.019	1.019	0.96-1.07	1	1.184	4393/6290	DOKW01000009.1 MAG TPA_asm: Sulfurihydrogenibium sp. isolate UBA8851 contig_10540, whole genome shotgun sequence
pac_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/017/945/GCF_000017945.1_genomic.fna.gz	100.00	99.04	100.08-100.28	1.169	1.169	1.11-1.24	2	1.395	3839/5183	NC_009776.1 Ignicoccus hospitalis KIN4/I, complete sequence
pac_mock2_1gb.fq	/home/jshaw/scratch/tmp/skani-test/gtdb_genomes_reps_r214/database/GCF/000/007/185/GCF_000007185.1_genomic.fna.gz	100.00	99.26	100.09-100.27	1.376	1.376	1.29-1.44	2	1.515	5386/6789	NC_003551.1 Methanopyrus kandleri AV19, complete sequence
