Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
meslier_reads/illumina_subsamp_1.fq	gtdb_genomes_reps_r214/database/GCA/003/543/175/GCA_003543175.1_genomic.fna.gz	100.00	2.370	99.96-100.07	2.370	2.22-2.53	2	2.753	5904/6457	99.71	DPJC01000012.1 MAG TPA_asm: Hydrogenobaculum sp. isolate UBA8840 contig_1217, whole genome shotgun sequence
meslier_reads/illumina_subsamp_1.fq	gtdb_genomes_reps_r214/database/GCF/000/010/305/GCF_000010305.1_genomic.fna.gz	100.00	9.000	NA-NA	HIGH	NA-NA	9	9.274	20059/20062	100.00	NC_012489.1 Gemmatimonas aurantiaca T-27, complete sequence
meslier_reads/illumina_subsamp_1.fq	gtdb_genomes_reps_r214/database/GCF/000/016/545/GCF_000016545.1_genomic.fna.gz	100.00	19.000	NA-NA	HIGH	NA-NA	19	19.446	11953/11955	100.00	NC_009437.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete sequence
meslier_reads/illumina_subsamp_1.fq	gtdb_genomes_reps_r214/database/GCF/000/019/085/GCF_000019085.1_genomic.fna.gz	100.00	11.000	NA-NA	HIGH	NA-NA	11	11.315	9387/9389	100.00	NC_010321.1 Thermoanaerobacter pseudethanolicus ATCC 33223, complete sequence
meslier_reads/illumina_subsamp_1.fq	gtdb_genomes_reps_r214/database/GCF/001/639/275/GCF_001639275.1_genomic.fna.gz	100.00	10.000	NA-NA	HIGH	NA-NA	10	10.398	8844/8846	100.00	NZ_LWMU01000001.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000001, whole genome shotgun sequence
meslier_reads/illumina_subsamp_1.fq	gtdb_genomes_reps_r214/database/GCF/000/021/565/GCF_000021565.1_genomic.fna.gz	100.00	9.000	NA-NA	HIGH	NA-NA	9	9.118	8660/8662	100.00	NC_012440.1 Persephonella marina EX-H1, complete sequence
meslier_reads/illumina_subsamp_1.fq	gtdb_genomes_reps_r214/database/GCF/000/016/785/GCF_000016785.1_genomic.fna.gz	100.00	24.000	NA-NA	HIGH	NA-NA	24	24.935	7806/7808	100.00	NC_009486.1 Thermotoga petrophila RKU-1, complete sequence
meslier_reads/illumina_subsamp_1.fq	gtdb_genomes_reps_r214/database/GCF/000/018/945/GCF_000018945.1_genomic.fna.gz	100.00	32.000	NA-NA	HIGH	NA-NA	32	32.684	8040/8045	100.00	NC_011978.1 Thermotoga neapolitana DSM 4359, complete sequence
meslier_reads/illumina_subsamp_1.fq	gtdb_genomes_reps_r214/database/GCF/000/011/105/GCF_000011105.1_genomic.fna.gz	100.00	9.000	NA-NA	HIGH	NA-NA	9	9.042	7556/7564	100.00	NC_000961.1 Pyrococcus horikoshii OT3, complete sequence
meslier_reads/illumina_subsamp_1.fq	gtdb_genomes_reps_r214/database/GCF/000/166/095/GCF_000166095.1_genomic.fna.gz	100.00	19.000	NA-NA	HIGH	NA-NA	19	19.593	5278/5284	100.00	NC_014658.1 Methanothermus fervidus DSM 2088, complete sequence
meslier_reads/illumina_subsamp_1.fq	gtdb_genomes_reps_r214/database/GCF/002/952/055/GCF_002952055.1_genomic.fna.gz	100.00	7.000	NA-NA	HIGH	NA-NA	7	7.417	11427/11441	100.00	NZ_CP021255.1 Desulfobulbus oralis strain HOT041/ORNL chromosome, complete genome
meslier_reads/illumina_subsamp_1.fq	gtdb_genomes_reps_r214/database/GCF/000/091/665/GCF_000091665.1_genomic.fna.gz	99.99	24.000	NA-NA	HIGH	NA-NA	24	24.029	7443/7457	99.99	NC_000909.1 Methanocaldococcus jannaschii DSM 2661, complete sequence
