Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	True_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/154/325/GCA_000154325.1_genomic.fna.gz	15.9962	11.9135	97.51	18.297	NA-NA	HIGH	NA-NA	9	10.002	5195/11351	97.51	DS499551.1 Eubacterium siraeum DSM 15702 Scfld_03_43 genomic scaffold, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/525/GCF_000154525.1_genomic.fna.gz	8.1017	8.9709	97.15	9.267	NA-NA	HIGH	NA-NA	4	5.066	6898/16882	97.15	NZ_DS499677.1 Bacteroides stercoris ATCC 43183 Scfld_02_16, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/009/695/995/GCF_009695995.1_genomic.fna.gz	6.7561	5.5422	96.05	7.728	NA-NA	HIGH	NA-NA	4	4.224	3613/12609	96.05	NZ_VUMU01000001.1 Waltera intestinalis strain WCA3-601-WT-6H seq1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/205/GCF_000154205.1_genomic.fna.gz	6.0544	7.8898	97.00	6.925	NA-NA	HIGH	NA-NA	3	3.786	7671/19703	97.00	NZ_DS362249.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_32, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/434/435/GCA_000434435.1_genomic.fna.gz	5.8952	2.4352	96.58	6.743	NA-NA	HIGH	NA-NA	3	3.686	2170/6378	96.58	FR895494.1 Firmicutes bacterium CAG:475 genomic scaffold, scf1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/013/009/555/GCF_013009555.1_genomic.fna.gz	5.0588	7.8586	98.30	5.787	NA-NA	HIGH	NA-NA	3	3.163	13794/23489	98.30	NZ_CP046176.1 Phocaeicola dorei strain DSM 17855 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/435/495/GCA_000435495.1_genomic.fna.gz	2.7378	1.0259	99.05	3.132	98.93-99.14	1.712	1.57-1.84	2	2.726	3586/5840	98.44	FR884004.1 Firmicutes bacterium CAG:552 genomic scaffold, scf8, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/172/175/GCF_000172175.1_genomic.fna.gz	2.7014	4.5151	98.33	3.090	98.26-98.38	1.689	1.62-1.76	2	2.759	12670/25907	97.72	NZ_ABJL02000008.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont607, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/160/055/GCF_000160055.1_genomic.fna.gz	2.6205	1.3720	97.12	2.998	96.96-97.25	1.639	1.51-1.83	2	2.483	2649/8049	96.48	NZ_GG698602.1 Dialister invisus DSM 15470 Scfld0, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/014/288/065/GCF_014288065.1_genomic.fna.gz	2.6036	1.7515	97.86	2.978	97.77-97.95	1.628	1.52-1.74	2	2.625	4374/10512	97.21	NZ_JACOPS010000001.1 Ruminococcus sp. NSJ-71 M23_ctg001, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/210/075/GCF_000210075.1_genomic.fna.gz	2.5610	4.2264	97.63	2.929	97.57-97.69	1.601	1.52-1.67	2	2.567	9724/25349	96.96	NC_021017.1 Bacteroides xylanisolvens XB1A, complete sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/001/404/675/GCF_001404675.1_genomic.fna.gz	2.5547	2.1786	98.46	2.922	98.38-98.55	1.597	1.51-1.67	2	2.572	6577/13182	97.78	NZ_CYXU01000001.1 Coprococcus eutactus strain 2789STDY5834963, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/003/584/705/GCA_003584705.1_genomic.fna.gz	2.4642	2.7754	97.50	2.819	97.42-97.57	1.541	1.47-1.63	2	3.206	6257/17205	96.79	AP018536.1 Lachnospiraceae bacterium GAM79 DNA, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/020/605/GCA_000020605.1_genomic.fna.gz	2.3341	2.2235	96.47	2.670	96.35-96.60	1.459	1.37-1.56	2	2.290	3573/14021	95.69	CP001107.1 [Eubacterium] rectale ATCC 33656 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/009/680/455/GCF_009680455.1_genomic.fna.gz	2.3126	1.9307	98.28	2.645	98.18-98.35	1.446	1.38-1.52	2	2.482	5938/13152	97.47	NZ_WKRD01000010.1 Lachnospira eligens strain BIOML-A1 scaffold10_size99411, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/014/337/155/GCA_014337155.1_genomic.fna.gz	2.2968	1.8665	97.97	2.627	97.86-98.05	1.436	1.37-1.54	2	2.514	5161/12579	97.17	CP060632.1 Lachnospiraceae bacterium NSJ-4 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/437/395/GCA_000437395.1_genomic.fna.gz	1.9834	0.8981	96.34	2.269	96.19-96.54	1.240	1.11-1.36	2	1.835	1596/7060	95.32	FR898160.1 Clostridium sp. CAG:288 genomic scaffold, scf1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/012/845/GCF_000012845.1_genomic.fna.gz	1.8509	2.4592	96.53	2.117	96.41-96.65	1.157	1.07-1.23	2	1.900	4781/20586	95.40	NC_009615.1 Parabacteroides distasonis ATCC 8503, complete sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/112/995/GCA_900112995.1_genomic.fna.gz	1.8155	1.4125	97.88	2.077	97.76-97.96	1.135	1.07-1.21	2	1.991	4320/12183	96.71	FONU01000049.1 Lactobacillus rogosae strain ATCC 27753 genome assembly, contig: Ga0052885_scaffold00047.47, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/553/675/GCA_900553675.1_genomic.fna.gz	1.6583	0.9756	97.01	1.897	96.87-97.17	1.037	0.96-1.12	1	1.832	2344/9175	95.69	USEH01000001.1 uncultured Ruminococcus sp. isolate UMGS1641 genome assembly, contig: NODE_396_length_45586_cov_3.316026, whole genome shotgun sequence
