Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	True_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/154/325/GCA_000154325.1_genomic.fna.gz	18.3345	13.0315	97.51	17.119	NA-NA	HIGH	NA-NA	9	9.358	5190/11351	97.51	DS499551.1 Eubacterium siraeum DSM 15702 Scfld_03_43 genomic scaffold, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/525/GCF_000154525.1_genomic.fna.gz	8.7627	9.2598	97.14	8.182	NA-NA	HIGH	NA-NA	4	4.472	6873/16882	97.14	NZ_DS499677.1 Bacteroides stercoris ATCC 43183 Scfld_02_16, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/009/695/995/GCF_009695995.1_genomic.fna.gz	7.1322	5.5836	96.04	6.659	NA-NA	HIGH	NA-NA	3	3.640	3605/12609	96.04	NZ_VUMU01000001.1 Waltera intestinalis strain WCA3-601-WT-6H seq1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/154/205/GCF_000154205.1_genomic.fna.gz	6.3341	7.8774	96.98	5.914	NA-NA	HIGH	NA-NA	3	3.233	7621/19703	96.98	NZ_DS362249.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_32, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/013/009/555/GCF_013009555.1_genomic.fna.gz	3.5303	5.2338	98.87	3.296	98.82-98.92	1.802	1.73-1.86	2	2.616	13908/23489	98.32	NZ_CP046176.1 Phocaeicola dorei strain DSM 17855 chromosome, complete genome
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/434/435/GCA_000434435.1_genomic.fna.gz	3.0731	1.2115	97.28	2.869	97.13-97.42	1.569	1.43-1.72	2	3.091	2170/6378	96.58	FR895494.1 Firmicutes bacterium CAG:475 genomic scaffold, scf1, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/172/175/GCF_000172175.1_genomic.fna.gz	3.0697	4.8963	98.39	2.866	98.33-98.44	1.567	1.52-1.63	2	2.226	12515/25907	97.68	NZ_ABJL02000008.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont607, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/435/495/GCA_000435495.1_genomic.fna.gz	2.8853	1.0318	99.24	2.694	99.13-99.35	1.473	1.37-1.57	2	2.238	3586/5840	98.44	FR884004.1 Firmicutes bacterium CAG:552 genomic scaffold, scf8, whole genome shotgun sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/210/075/GCF_000210075.1_genomic.fna.gz	2.7963	4.4040	97.69	2.611	97.61-97.76	1.427	1.37-1.49	2	2.055	9446/25349	96.87	NC_021017.1 Bacteroides xylanisolvens XB1A, complete sequence
real_gut_reads/ERR011201_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/160/055/GCF_000160055.1_genomic.fna.gz	2.7927	1.3954	97.30	2.608	97.14-97.42	1.425	1.31-1.56	2	2.036	2649/8049	96.48	NZ_GG698602.1 Dialister invisus DSM 15470 Scfld0, whole genome shotgun sequence
