Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	True_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
new_ocean_study/ERR11413636_1.fastq.gz	data/20210608/bioRxiv/fasta_species-representatives/OceanDNA-b38823.fa.gz	6.4714	1.2462	97.69	51.891	NA-NA	HIGH	NA-NA	38	39.469	5303/10936	97.69	OceanDNA-b38823_00001 megahit:SRS796135_N0000117
new_ocean_study/ERR11413636_1.fastq.gz	data/20210608/bioRxiv/fasta_species-representatives/OceanDNA-b38751.fa.gz	5.2793	0.9806	99.78	42.332	NA-NA	HIGH	NA-NA	31	28.385	9920/10621	99.78	OceanDNA-b38751_00001 megahit:ERS491110_N0000062
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/905/614/365/GCA_905614365.1_genomic.fna.gz	4.2575	0.3666	99.68	34.139	NA-NA	HIGH	NA-NA	25	23.395	4475/4936	99.68	CAJQSO010000001.1 MAG: uncultured SUP05 cluster bacterium isolate RIS_SAG_37 genome assembly, contig: c_000000002941, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	data/20210608/bioRxiv/fasta_species-representatives/OceanDNA-b43160.fa.gz	3.5763	0.2829	98.01	28.677	NA-NA	HIGH	NA-NA	21	20.833	2360/4407	98.01	OceanDNA-b43160_00001 megahit:Arc_Ant_S07_N0002699
new_ocean_study/ERR11413636_1.fastq.gz	data/20210608/bioRxiv/fasta_species-representatives/OceanDNA-b39756.fa.gz	3.2357	0.5432	98.83	25.946	NA-NA	HIGH	NA-NA	19	17.842	6594/9511	98.83	OceanDNA-b39756_00001 megahit:SRS2466111_N0000004
new_ocean_study/ERR11413636_1.fastq.gz	data/20210608/bioRxiv/fasta_species-representatives/OceanDNA-b39820.fa.gz	3.0654	0.5551	98.05	24.580	NA-NA	HIGH	NA-NA	18	16.793	5543/10208	98.05	OceanDNA-b39820_00001 megahit:ERS491110_N0000022
new_ocean_study/ERR11413636_1.fastq.gz	data/20210608/bioRxiv/fasta_species-representatives/OceanDNA-b6362.fa.gz	2.4788	0.3082	99.92	19.877	NA-NA	HIGH	NA-NA	14	14.556	6727/6905	99.92	OceanDNA-b6362_00001 megahit:Arc_Ant_S09_N0000429
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/913/050/015/GCA_913050015.1_genomic.fna.gz	2.4190	0.1614	99.93	19.397	NA-NA	HIGH	NA-NA	14	14.204	3813/3892	99.93	CAJXAZ010000001.1 TPA_asm: uncultured Gammaproteobacteria bacterium isolate ERR599090_bin.2_MetaBAT_v2.12.1_MAG genome assembly, contig: NODE_65_length_76410_cov_322.302508, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/000/981/705/GCA_000981705.1_genomic.fna.gz	2.3321	0.4964	99.93	18.700	NA-NA	HIGH	NA-NA	14	13.694	11621/11887	99.93	LAQD01000021.1 MAG: Rhodobacteraceae bacterium ASP10-04a contig1133, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/913/045/325/GCA_913045325.1_genomic.fna.gz	2.2869	0.3263	99.95	18.337	NA-NA	HIGH	NA-NA	13	13.428	8048/8165	99.95	CAJWPZ010000001.1 TPA_asm: uncultured Flavobacteriaceae bacterium isolate ERR598945_bin.23_MetaBAT_v2.12.1_MAG genome assembly, contig: NODE_1_length_213477_cov_22.6796, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/905/618/915/GCA_905618915.1_genomic.fna.gz	2.2266	0.1441	99.37	17.854	NA-NA	HIGH	NA-NA	14	13.075	2905/3533	99.37	CAJQTI010000001.1 uncultured Candidatus Pelagibacter sp. isolate RIS_SAG_53 genome assembly, contig: c_000000003664, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/002/470/565/GCA_002470565.1_genomic.fna.gz	2.0049	0.3153	99.21	16.076	NA-NA	HIGH	NA-NA	12	11.773	6972/8907	99.21	DKMQ01000035.1 MAG TPA_asm: Oceanospirillaceae bacterium UBA7410 UBA7410_contig_10439, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/913/050/305/GCA_913050305.1_genomic.fna.gz	1.9803	0.2645	99.63	15.879	NA-NA	HIGH	NA-NA	11	11.628	6831/7657	99.63	CAJXAS010000001.1 MAG TPA_asm: uncultured Polaribacter sp. isolate ERR599008_bin.102_MetaBAT_v2.12.1_MAG genome assembly, contig: NODE_430_length_55785_cov_26.205347, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/905/182/325/GCA_905182325.1_genomic.fna.gz	1.9290	0.2784	97.85	15.468	NA-NA	HIGH	NA-NA	11	11.327	4206/8244	97.85	CAJJBD010000001.1 uncultured Planktomarina sp. isolate FRAM18_bin043 genome assembly, contig: FRAM17_bin043-1, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	data/20210608/bioRxiv/fasta_species-representatives/OceanDNA-b9835.fa.gz	1.5641	0.2094	99.91	12.542	NA-NA	HIGH	NA-NA	9	9.184	7306/7513	99.91	OceanDNA-b9835_00001 megahit:Arc_Ant_S32_N0000071
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/905/612/365/GCA_905612365.1_genomic.fna.gz	1.4869	0.0697	98.42	11.923	NA-NA	HIGH	NA-NA	9	8.731	1574/2582	98.42	CAJQRP010000001.1 uncultured Candidatus Pelagibacter sp. isolate RIS_SAG_13 genome assembly, contig: c_000000001136, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/017/848/435/GCA_017848435.1_genomic.fna.gz	1.4481	0.3649	98.28	11.612	NA-NA	HIGH	NA-NA	8	8.503	8313/14248	98.28	JAFEHU010000072.1 Burkholderiaceae bacterium isolate PCRC01 S4CNODE_1009_length_2027_cov_2.794087, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	data/20210608/bioRxiv/fasta_species-representatives/OceanDNA-b8069.fa.gz	1.4432	0.1181	99.89	11.572	NA-NA	HIGH	NA-NA	8	8.474	4508/4670	99.89	OceanDNA-b8069_00001 megahit:Arc_Ant_S32_N0000353
new_ocean_study/ERR11413636_1.fastq.gz	data/20210608/bioRxiv/fasta_species-representatives/OceanDNA-b9314.fa.gz	1.3642	0.1622	99.63	10.939	NA-NA	HIGH	NA-NA	7	8.010	5946/6671	99.63	OceanDNA-b9314_00001 megahit:Arc_Ant_S07_N0001047
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/905/182/265/GCA_905182265.1_genomic.fna.gz	1.3274	0.2221	99.80	10.643	NA-NA	HIGH	NA-NA	8	7.794	9034/9598	99.80	CAJJAO010000001.1 gamma proteobacterium HTCC2207 isolate FRAM18_bin231 genome assembly, contig: FRAM18_bin231-1, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/905/612/335/GCA_905612335.1_genomic.fna.gz	1.2458	0.0581	97.98	9.990	NA-NA	HIGH	NA-NA	7	7.315	1373/2586	97.98	CAJQRT010000001.1 uncultured Candidatus Pelagibacter sp. isolate RIS_SAG_15 genome assembly, contig: c_000000001230, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/905/612/405/GCA_905612405.1_genomic.fna.gz	1.2335	0.1017	96.35	9.891	NA-NA	HIGH	NA-NA	7	7.243	1490/4714	96.35	CAJQRX010000001.1 MAG: uncultured SUP05 cluster bacterium isolate RIS_SAG_20 genome assembly, contig: c_000000001658, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/905/616/395/GCA_905616395.1_genomic.fna.gz	1.1157	0.0958	97.56	8.946	NA-NA	HIGH	NA-NA	6	6.551	2219/4766	97.56	CAJQSQ010000001.1 uncultured Candidatus Pelagibacter sp. isolate RIS_SAG_41 genome assembly, contig: c_000000003165, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	gtdb_genomes_reps_r214/database/GCA/002/336/405/GCA_002336405.1_genomic.fna.gz	1.0153	0.2297	99.87	8.141	NA-NA	HIGH	NA-NA	6	5.962	12173/12664	99.87	DDEJ01000155.1 MAG TPA_asm: Rhodobacteraceae bacterium UBA1957 UBA1957_contig_101972, whole genome shotgun sequence
new_ocean_study/ERR11413636_1.fastq.gz	data/20210608/bioRxiv/fasta_species-representatives/OceanDNA-b28032.fa.gz	1.0105	0.2093	99.63	8.103	NA-NA	HIGH	NA-NA	5	5.934	10522/11808	99.63	OceanDNA-b28032_00001 megahit:ERS1309599_N0000015
