Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	30.5791	18.8929	99.48	96.000	NA-NA	HIGH	NA-NA	96	93.667	69/81	99.48	MGV-GENOME-0157763 OTU-26918
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	21.9787	18.4472	99.79	69.000	NA-NA	HIGH	NA-NA	69	45.560	116/124	99.79	MGV-GENOME-0207091 OTU-29612
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	17.8378	20.1339	98.59	56.000	NA-NA	HIGH	NA-NA	56	52.182	110/171	98.59	MGV-GENOME-0264970 OTU-36594
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	7.6448	7.0212	99.18	24.000	NA-NA	HIGH	NA-NA	24	21.320	100/129	99.18	MGV-GENOME-0222590 OTU-09228
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	6.3706	5.0449	99.38	20.000	NA-NA	HIGH	NA-NA	20	19.200	85/103	99.38	MGV-GENOME-0197795 OTU-48300
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	3.1853	3.7863	99.98	10.000	NA-NA	HIGH	NA-NA	10	9.956	159/160	99.98	MGV-GENOME-0275931 OTU-30827
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	2.5483	4.8212	98.80	8.000	NA-NA	HIGH	NA-NA	8	10.909	197/286	98.80	MGV-GENOME-0340394 OTU-40533
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	1.5927	2.1970	99.01	5.000	NA-NA	HIGH	NA-NA	5	5.424	144/196	99.01	MGV-GENOME-0304586 OTU-21630
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	1.5927	1.3271	97.66	5.000	NA-NA	HIGH	NA-NA	5	4.034	59/123	97.66	MGV-GENOME-0205856 OTU-00998
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	1.2741	6.4368	98.96	4.000	NA-NA	HIGH	NA-NA	4	3.873	553/764	98.96	MGV-GENOME-0378171 OTU-72344
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	0.9556	1.1258	98.86	3.000	NA-NA	HIGH	NA-NA	3	2.968	124/177	98.86	MGV-GENOME-0276775 OTU-61176
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	0.7063	0.8696	97.19	2.217	96.79-98.08	2.217	1.00-2.65	2	2.097	72/191	96.90	MGV-GENOME-0283483 OTU-25322
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	0.5256	0.3456	98.76	1.650	98.11-99.69	1.650	0.72-2.55	2	2.241	58/104	98.13	MGV-GENOME-0167981 OTU-22460
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	0.5165	0.6831	98.07	1.622	97.62-98.85	1.622	0.98-1.93	2	1.818	99/215	97.53	MGV-GENOME-0297878 OTU-09058
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	0.5048	0.5929	100.00	1.585	99.99-100.98	1.585	1.02-2.20	2	2.379	161/178	99.68	MGV-GENOME-0324716 OTU-16224
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	0.4778	2.0620	97.13	1.500	96.70-97.60	1.500	1.12-1.80	2	1.738	221/692	96.38	MGV-GENOME-0375882 OTU-02594
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	0.3185	0.2185	95.99	1.000	NA-NA	LOW	NA-NA	1	1.160	25/89	95.99	MGV-GENOME-0174914 OTU-06807
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	0.2962	1.5200	98.02	0.930	97.60-98.54	0.930	0.70-1.10	1	1.516	258/780	96.49	MGV-GENOME-0378359 OTU-61807
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	0.2430	0.6781	98.53	0.763	97.91-99.22	0.763	0.57-0.96	1	1.453	148/430	96.62	MGV-GENOME-0364175 OTU-13393
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	0.2354	0.7032	95.81	0.739	94.69-96.83	0.739	0.48-1.11	1	1.231	65/449	93.96	MGV-GENOME-0368637 OTU-76326
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	0.2310	0.9992	98.91	0.725	98.38-99.55	0.725	0.56-0.91	1	1.348	244/653	96.87	MGV-GENOME-0375924 OTU-20582
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	0.1792	1.2392	97.61	0.562	97.02-98.37	0.562	0.41-0.70	1	1.308	221/1058	95.07	MGV-GENOME-0379813 OTU-52060
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	0.1210	0.5840	98.17	0.380	97.14-99.33	0.380	0.26-0.54	1	1.161	124/669	94.71	MGV-GENOME-0377561 OTU-09533
vir_species95/species95_1_R1.fq.gz	mgv_votu_representatives.fna	0.0849	0.2702	97.51	0.267	95.46-98.28	0.267	0.20-0.53	2	3.095	63/471	93.72	MGV-GENOME-0370602 OTU-30128
vir_species95/species95_0_R1.fq.gz	mgv_votu_representatives.fna	38.2041	18.0006	97.98	134.000	NA-NA	HIGH	NA-NA	134	128.952	42/79	97.98	MGV-GENOME-0146024 OTU-31511
vir_species95/species95_0_R1.fq.gz	mgv_votu_representatives.fna	19.9573	22.6829	98.51	70.000	NA-NA	HIGH	NA-NA	70	68.920	125/199	98.51	MGV-GENOME-0305038 OTU-56548
vir_species95/species95_0_R1.fq.gz	mgv_votu_representatives.fna	7.4127	6.8724	98.64	26.000	NA-NA	HIGH	NA-NA	26	26.375	112/171	98.64	MGV-GENOME-0264970 OTU-36594
vir_species95/species95_0_R1.fq.gz	mgv_votu_representatives.fna	6.8425	6.6808	99.98	24.000	NA-NA	HIGH	NA-NA	24	24.277	159/160	99.98	MGV-GENOME-0275931 OTU-30827
vir_species95/species95_0_R1.fq.gz	mgv_votu_representatives.fna	5.1319	3.8714	99.55	18.000	NA-NA	HIGH	NA-NA	18	14.741	112/129	99.55	MGV-GENOME-0222590 OTU-09228
vir_species95/species95_0_R1.fq.gz	mgv_votu_representatives.fna	4.2766	9.4330	98.82	15.000	NA-NA	HIGH	NA-NA	15	15.283	286/413	98.82	MGV-GENOME-0361556 OTU-66758
vir_species95/species95_0_R1.fq.gz	mgv_votu_representatives.fna	2.8510	3.0970	96.78	10.000	NA-NA	HIGH	NA-NA	10	8.769	78/215	96.78	MGV-GENOME-0297878 OTU-09058
vir_species95/species95_0_R1.fq.gz	mgv_votu_representatives.fna	2.8510	10.1304	98.42	10.000	NA-NA	HIGH	NA-NA	10	10.083	398/653	98.42	MGV-GENOME-0375924 OTU-20582
vir_species95/species95_0_R1.fq.gz	mgv_votu_representatives.fna	1.7106	1.1708	97.38	6.000	NA-NA	HIGH	NA-NA	6	5.611	54/123	97.38	MGV-GENOME-0205856 OTU-00998
vir_species95/species95_0_R1.fq.gz	mgv_votu_representatives.fna	1.7106	5.0437	99.41	6.000	NA-NA	HIGH	NA-NA	6	6.151	449/540	99.41	MGV-GENOME-0372901 OTU-30622
vir_species95/species95_0_R1.fq.gz	mgv_votu_representatives.fna	1.4255	0.8624	98.57	5.000	NA-NA	HIGH	NA-NA	5	6.075	80/125	98.57	MGV-GENOME-0186381 OTU-00058
vir_species95/species95_0_R1.fq.gz	mgv_votu_representatives.fna	0.8553	0.4819	98.28	3.000	NA-NA	HIGH	NA-NA	3	2.865	52/89	98.28	MGV-GENOME-0174914 OTU-06807
