Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	True_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
biofilm_reads/SRR24442559_1.fastq.gz	refseq/bacteria/GCF_000429405.1/GCF_000429405.1_ASM42940v1_genomic.fna.gz	36.3020	8.0562	98.40	181.064	NA-NA	HIGH	NA-NA	161	145.513	11707/19298	98.40	NZ_AUBU01000001.1 Algoriphagus marincola DSM 16067 G457DRAFT_scaffold00001.1_C, whole genome shotgun sequence
biofilm_reads/SRR24442559_1.fastq.gz	refseq/bacteria/GCF_003667315.2/GCF_003667315.2_ASM366731v2_genomic.fna.gz	22.0969	5.5802	98.51	110.213	NA-NA	HIGH	NA-NA	98	89.446	13882/22084	98.51	NZ_RCTZ02000010.1 Tropicibacter alexandrii strain LMIT003 NODE_10_length_165829_cov_73.419868, whole genome shotgun sequence
biofilm_reads/SRR24442559_1.fastq.gz	refseq/bacteria/GCF_000759025.1/GCF_000759025.1_ASM75902v1_genomic.fna.gz	14.4306	5.6862	99.83	71.976	NA-NA	HIGH	NA-NA	64	82.806	30225/31904	99.83	NZ_JPOS01000001.1 Phaeodactylibacter xiamenensis strain KD52 Scaffold1_1, whole genome shotgun sequence
biofilm_reads/SRR24442559_1.fastq.gz	refseq/bacteria/GCF_900115865.1/GCF_900115865.1_IMG-taxon_2684622851_annotated_assembly_genomic.fna.gz	7.2153	1.5993	97.62	35.988	NA-NA	HIGH	NA-NA	32	56.183	9017/19031	97.62	NZ_FOXY01000059.1 Donghicola eburneus strain DSM 29127, whole genome shotgun sequence
biofilm_reads/SRR24442559_1.fastq.gz	refseq/bacteria/GCF_007993045.1/GCF_007993045.1_ASM799304v1_genomic.fna.gz	4.2841	1.2897	99.32	21.368	NA-NA	HIGH	NA-NA	19	18.237	20347/25176	99.32	NZ_VOOR01000001.1 Phaeodactylibacter luteus strain KCTC 42180 1, whole genome shotgun sequence
biofilm_reads/SRR24442559_1.fastq.gz	refseq/bacteria/GCF_009910365.1/GCF_009910365.1_ASM991036v1_genomic.fna.gz	3.3822	0.5243	96.88	16.869	NA-NA	HIGH	NA-NA	15	14.286	4949/13202	96.88	NZ_CP036423.1 Aequoribacter fuscus strain IMCC3088 chromosome, complete genome
biofilm_reads/SRR24442559_1.fastq.gz	refseq/bacteria/GCF_004366715.1/GCF_004366715.1_ASM436671v1_genomic.fna.gz	2.0231	0.3266	99.49	10.091	NA-NA	HIGH	NA-NA	9	8.972	11768/13809	99.49	NZ_SOQZ01000001.1 Meridianimaribacter flavus strain CGMCC 1.10957 Ga0079837_101, whole genome shotgun sequence
biofilm_reads/SRR24442559_1.fastq.gz	refseq/bacteria/GCF_000238255.3/GCF_000238255.3_ASM23825v4_genomic.fna.gz	1.9358	0.4607	97.29	9.655	NA-NA	HIGH	NA-NA	9	8.585	8627/20193	97.29	NZ_CP011039.1 Pseudoalteromonas spongiae UST010723-006 chromosome I, complete sequence
biofilm_reads/SRR24442559_1.fastq.gz	refseq/bacteria/GCF_003003355.1/GCF_003003355.1_ASM300335v1_genomic.fna.gz	1.7045	0.4001	98.68	8.501	NA-NA	HIGH	NA-NA	8	7.559	13229/19999	98.68	NZ_PVTQ01000001.1 Donghicola tyrosinivorans strain DSM 100212 Ga0181042_101, whole genome shotgun sequence
biofilm_reads/SRR24442559_1.fastq.gz	refseq/bacteria/GCF_004329705.1/GCF_004329705.1_ASM432970v1_genomic.fna.gz	1.6790	0.3762	96.77	8.374	NA-NA	HIGH	NA-NA	7	7.446	7074/19569	96.77	NZ_JXSZ01000001.1 Jiulongibacter sediminis strain JN14-9 contig1, whole genome shotgun sequence
