Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
chng_reads/SRR1950686_1.fastq.gz	../sylph-test/refs/m.restrica.fa	90.86	0.083	89.40-92.52	0.083	0.04-0.13	1	1.150	133/31580	83.82	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950687_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.56	1.304	99.52-99.60	1.304	1.27-1.34	2	1.869	20287/31580	98.58	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950687_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.34	0.191	98.03-98.61	0.191	0.17-0.21	1	1.122	4093/38437	93.03	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950689_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.60	0.092	98.05-99.22	0.092	0.08-0.11	1	1.052	1832/31580	91.22	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950689_1.fastq.gz	../sylph-test/refs/m.globosa.fa	95.38	0.078	94.49-96.56	0.078	0.05-0.10	1	1.080	687/38437	87.83	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950690_1.fastq.gz	../sylph-test/refs/m.restrica.fa	92.72	0.491	92.36-93.06	0.491	0.42-0.57	1	1.956	1341/31580	90.31	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950691_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.71	5.940	NA-NA	HIGH	NA-NA	5	5.940	28890/31580	99.71	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950691_1.fastq.gz	../sylph-test/refs/m.globosa.fa	99.10	0.951	99.03-99.17	0.951	0.92-0.98	1	1.614	18096/38437	97.60	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950692_1.fastq.gz	../sylph-test/refs/m.restrica.fa	93.21	0.710	92.94-93.44	0.710	0.63-0.77	2	2.308	2082/31580	91.60	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950692_1.fastq.gz	../sylph-test/refs/m.globosa.fa	90.35	0.650	90.02-90.70	0.650	0.55-0.74	1	1.965	875/38437	88.51	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950693_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.62	5.464	NA-NA	HIGH	NA-NA	4	5.464	28094/31580	99.62	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950693_1.fastq.gz	../sylph-test/refs/m.globosa.fa	99.08	0.871	99.01-99.15	0.871	0.85-0.90	1	1.563	17060/38437	97.41	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950695_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.60	0.373	99.47-99.73	0.373	0.35-0.38	1	1.219	8855/31580	95.98	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950695_1.fastq.gz	../sylph-test/refs/m.globosa.fa	95.64	0.080	94.62-96.61	0.080	0.06-0.11	1	1.226	766/38437	88.13	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950697_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.57	0.535	99.47-99.68	0.535	0.51-0.55	1	1.313	11638/31580	96.83	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950697_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.72	0.056	97.88-99.56	0.056	0.04-0.07	1	1.109	1436/38437	89.94	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950698_1.fastq.gz	../sylph-test/refs/m.globosa.fa	92.96	0.647	92.69-93.18	0.647	0.59-0.71	2	2.405	2247/38437	91.25	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950698_1.fastq.gz	../sylph-test/refs/m.restrica.fa	90.31	0.518	89.80-90.78	0.518	0.43-0.62	1	1.915	623/31580	88.11	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950699_1.fastq.gz	../sylph-test/refs/m.globosa.fa	99.81	6.825	NA-NA	HIGH	NA-NA	7	6.825	36187/38437	99.81	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950699_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.55	4.688	NA-NA	HIGH	NA-NA	3	4.688	27459/31580	99.55	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950700_1.fastq.gz	../sylph-test/refs/m.globosa.fa	93.72	0.549	93.47-93.97	0.549	0.50-0.59	2	2.389	2546/38437	91.62	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950700_1.fastq.gz	../sylph-test/refs/m.restrica.fa	91.50	0.552	91.11-91.79	0.552	0.48-0.65	2	2.324	984/31580	89.41	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950701_1.fastq.gz	../sylph-test/refs/m.globosa.fa	99.82	4.970	NA-NA	HIGH	NA-NA	5	4.970	36367/38437	99.82	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950701_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.58	4.474	NA-NA	HIGH	NA-NA	4	4.474	27702/31580	99.58	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950702_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.96	0.288	98.77-99.13	0.288	0.27-0.30	1	1.382	7369/38437	94.81	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950702_1.fastq.gz	../sylph-test/refs/m.restrica.fa	93.07	0.323	92.47-93.58	0.323	0.26-0.40	1	1.748	1086/31580	89.70	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950703_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.48	3.709	NA-NA	HIGH	NA-NA	3	3.709	26908/31580	99.48	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950703_1.fastq.gz	../sylph-test/refs/m.globosa.fa	99.37	4.580	NA-NA	HIGH	NA-NA	4	4.580	31583/38437	99.37	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950704_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.69	0.515	97.55-97.84	0.515	0.48-0.55	2	2.174	8996/38437	95.42	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950704_1.fastq.gz	../sylph-test/refs/m.restrica.fa	90.62	0.419	90.06-91.11	0.419	0.34-0.52	1	1.966	624/31580	88.11	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950705_1.fastq.gz	../sylph-test/refs/m.globosa.fa	99.93	34.000	NA-NA	HIGH	NA-NA	34	30.896	37647/38437	99.93	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950705_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.75	1.498	99.71-99.79	1.498	1.45-1.54	2	2.182	22922/31580	98.97	NC_040193.1 Malassezia restricta chromosome I, complete sequence
