Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
ERR7803603_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/195/275/GCF_000195275.1_genomic.fna.gz	14.7921	16.5857	98.66	5754.000	NA-NA	HIGH	NA-NA	5754	5312.925	7795/11828	98.66	NC_015385.1 Treponema succinifaciens DSM 2489, complete sequence
ERR7803603_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/431/835/GCA_000431835.1_genomic.fna.gz	4.0798	3.5589	98.95	1587.000	NA-NA	HIGH	NA-NA	1587	1479.702	6989/9700	98.95	HF987897.1 Succinatimonas sp. CAG:777 genomic scaffold, scf1, whole genome shotgun sequence
ERR7803603_1.fastq.gz	gtdb_genomes_reps_r207/GCA/000/433/355/GCA_000433355.1_genomic.fna.gz	3.3497	3.7523	99.11	1303.000	NA-NA	HIGH	NA-NA	1303	1223.874	9518/12545	99.11	FR893094.1 Alistipes sp. CAG:435 genomic scaffold, scf9, whole genome shotgun sequence
ERR7803603_1.fastq.gz	gtdb_genomes_reps_r207/GCA/004/557/565/GCA_004557565.1_genomic.fna.gz	3.2212	3.5226	97.87	1253.000	NA-NA	HIGH	NA-NA	1253	1087.366	6106/11916	97.87	SFGS01000042.1 Bacteroidales bacterium isolate W0P7.010 Contig1016, whole genome shotgun sequence
ERR7803603_1.fastq.gz	gtdb_genomes_reps_r207/GCF/000/156/015/GCF_000156015.1_genomic.fna.gz	2.8715	2.7737	98.46	1117.000	NA-NA	HIGH	NA-NA	1117	1023.152	6677/10794	98.46	NZ_GG663534.1 Butyrivibrio crossotus DSM 2876 Scfld30, whole genome shotgun sequence
ERR7803603_1.fastq.gz	gtdb_genomes_reps_r207/GCA/003/539/515/GCA_003539515.1_genomic.fna.gz	2.6196	1.5320	98.21	1019.000	NA-NA	HIGH	NA-NA	1019	928.223	3757/6583	98.21	DPOZ01000003.1 MAG TPA_asm: Clostridiales bacterium isolate UBA11500 contig_369, whole genome shotgun sequence
ERR7803603_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/548/195/GCA_900548195.1_genomic.fna.gz	2.5348	2.6497	99.03	986.000	NA-NA	HIGH	NA-NA	986	930.444	8636/11684	99.03	URJQ01000001.1 uncultured Prevotella sp. isolate UMGS1063 genome assembly, contig: NODE_13_length_78087_cov_6.362364, whole genome shotgun sequence
ERR7803603_1.fastq.gz	gtdb_genomes_reps_r207/GCF/002/251/295/GCF_002251295.1_genomic.fna.gz	2.3548	2.7156	98.20	916.000	NA-NA	HIGH	NA-NA	916	856.899	7172/12598	98.20	NZ_NPJA01000001.1 Prevotella sp. P5-50 contig1, whole genome shotgun sequence
ERR7803603_1.fastq.gz	gtdb_genomes_reps_r207/GCF/002/834/235/GCF_002834235.1_genomic.fna.gz	2.3368	2.1704	98.73	909.000	NA-NA	HIGH	NA-NA	909	764.819	6754/10048	98.73	NZ_NNBY01000001.1 Ruminococcus bromii strain 5AMG contig000001, whole genome shotgun sequence
ERR7803603_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/546/465/GCA_900546465.1_genomic.fna.gz	1.9949	1.4667	98.93	776.000	NA-NA	HIGH	NA-NA	776	735.021	5903/8228	98.93	URCX01000001.1 uncultured Bacteroidetes bacterium isolate UMGS879 genome assembly, contig: NODE_336_length_35048_cov_3.397880, whole genome shotgun sequence
ERR7803603_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/539/255/GCA_900539255.1_genomic.fna.gz	1.6890	1.2360	97.54	657.000	NA-NA	HIGH	NA-NA	657	626.761	3725/8066	97.54	UQBJ01000001.1 uncultured Campylobacter sp. isolate UMGS113 genome assembly, contig: NODE_47_length_118993_cov_7.835486, whole genome shotgun sequence
ERR7803603_1.fastq.gz	gtdb_genomes_reps_r207/GCA/900/544/195/GCA_900544195.1_genomic.fna.gz	1.4113	1.5974	97.86	549.000	NA-NA	HIGH	NA-NA	549	665.729	6491/12688	97.86	UQUJ01000001.1 uncultured Alistipes sp. isolate UMGS648 genome assembly, contig: NODE_3_length_120291_cov_7.832571, whole genome shotgun sequence
ERR7803603_1.fastq.gz	gtdb_genomes_reps_r207/GCF/002/224/675/GCF_002224675.1_genomic.fna.gz	1.2905	1.9580	98.18	502.000	NA-NA	HIGH	NA-NA	502	663.779	9212/16272	98.18	NZ_NMPZ01000001.1 Prevotella copri strain Indica contig00001, whole genome shotgun sequence
