Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	True_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
meslier_reads/illumina_subsamp_1.fq	all_genomes_mock2/Thermotoga_neapolitana_DSM_4359.fna.gz	11.1274	8.0468	99.81	45.044	NA-NA	HIGH	NA-NA	31	31.287	7578/8045	99.81	GCA_000018945.1|CP000916.1 Thermotoga neapolitana DSM 4359, complete genome
meslier_reads/illumina_subsamp_1.fq	all_genomes_mock2/Methanocaldococcus_jannaschii_DSM_2661.fna.gz	8.6147	5.7517	99.99	34.873	NA-NA	HIGH	NA-NA	24	24.026	7441/7457	99.99	GCA_000091665.1|L77117.1 Methanocaldococcus jannaschii DSM 2661, complete genome
meslier_reads/illumina_subsamp_1.fq	all_genomes_mock2/Thermotoga_petrophila_RKU-1.fna.gz	8.6147	6.0280	100.00	34.873	NA-NA	HIGH	NA-NA	24	24.935	7806/7808	100.00	GCA_000016785.1|CP000702.1 Thermotoga petrophila RKU-1, complete genome
meslier_reads/illumina_subsamp_1.fq	all_genomes_mock2/Caldicellulosiruptor_saccharolyticus_DSM_8903.fna.gz	6.8200	7.7732	100.00	27.608	NA-NA	HIGH	NA-NA	19	19.446	11953/11955	100.00	GCA_000016545.1|CP000679.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete genome
meslier_reads/illumina_subsamp_1.fq	all_genomes_mock2/Methanothermus_fervidus_DSM_2088.fna.gz	6.8200	3.2538	100.00	27.608	NA-NA	HIGH	NA-NA	19	19.593	5278/5284	100.00	GCA_000166095.1|CP002278.1 Methanothermus fervidus DSM 2088, complete genome
meslier_reads/illumina_subsamp_1.fq	all_genomes_mock2/Thermoanaerobacter_pseudethanolicus_ATCC_33223.fna.gz	4.0601	3.6812	100.00	16.436	NA-NA	HIGH	NA-NA	11	11.311	9385/9389	100.00	GCA_000019085.1|CP000924.1 Thermoanaerobacter pseudethanolicus ATCC 33223, complete genome
meslier_reads/illumina_subsamp_1.fq	all_genomes_mock2/Methanobrevibacter_oralis_DSM_7256.fna.gz	3.7324	3.0655	100.00	15.109	NA-NA	HIGH	NA-NA	10	10.398	8844/8846	100.00	GCA_001639275.1|LWMU01000001.1 Methanobrevibacter oralis strain DSM 7256 MBORA_contig000001, whole genome shotgun sequence
meslier_reads/illumina_subsamp_1.fq	all_genomes_mock2/Nitrosomonas_europaea_ATCC_19718.fna.gz	3.4416	3.7137	99.98	13.932	NA-NA	HIGH	NA-NA	9	9.588	11601/11663	99.98	GCA_000009145.1|AL954747.1 Nitrosomonas europaea ATCC 19718, complete genome
meslier_reads/illumina_subsamp_1.fq	all_genomes_mock2/Gemmatimonas_aurantiaca_T-27.fna.gz	3.3290	5.9234	100.00	13.476	NA-NA	HIGH	NA-NA	9	9.274	20059/20062	100.00	GCA_000010305.1|AP009153.1 Gemmatimonas aurantiaca T-27 DNA, complete genome
meslier_reads/illumina_subsamp_1.fq	all_genomes_mock2/Persephonella_marina_EX-H1.fna.gz	3.2730	2.4917	100.00	13.249	NA-NA	HIGH	NA-NA	9	9.118	8660/8662	100.00	GCA_000021565.1|CP001230.1 Persephonella marina EX-H1, complete genome
meslier_reads/illumina_subsamp_1.fq	all_genomes_mock2/Pyrococcus_horikoshii_OT3.fna.gz	3.2456	2.1652	100.00	13.138	NA-NA	HIGH	NA-NA	9	9.042	7556/7564	100.00	GCA_000011105.1|BA000001.2 Pyrococcus horikoshii OT3 DNA, complete genome
