Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
human/ERR4605139_1.fastq.gz	refseq/bacteria/GCF_019343495.1/GCF_019343495.1_ASM1934349v1_genomic.fna.gz	100.0000	100.0000	97.49	166.000	NA-NA	HIGH	NA-NA	166	164.088	6693/14725	97.49	NZ_CP072549.1 Acinetobacter lwoffii strain H7 chromosome, complete genome
human/ERR4605165_1.fastq.gz	refseq/bacteria/GCF_001619895.1/GCF_001619895.1_ASM161989v1_genomic.fna.gz	17.6712	16.6964	99.01	0.928	98.88-99.12	0.928	0.87-0.99	1	1.629	4733/10500	97.46	NZ_LRFD01000001.1 Micrococcus aloeverae strain M71 Contig_1, whole genome shotgun sequence
human/ERR4605165_1.fastq.gz	refseq/viral/GCF_002743675.1/GCF_002743675.1_ASM274367v1_genomic.fna.gz	11.1460	0.1984	98.29	0.585	96.93-100.08	0.585	0.27-1.03	1	1.268	56/209	95.84	NC_055045.1 Staphylococcus phage phiSa2wa_st1, complete genome
human/ERR4605165_1.fastq.gz	refseq/bacteria/GCF_018336855.1/GCF_018336855.1_ASM1833685v1_genomic.fna.gz	8.1539	10.9499	98.41	0.428	98.24-98.67	0.428	0.39-0.45	1	1.239	3144/14499	95.19	NZ_CP059558.1 Acinetobacter junii strain YR7 chromosome, complete genome
human/ERR4605165_1.fastq.gz	refseq/bacteria/GCF_001275345.1/GCF_001275345.1_ASM127534v1_genomic.fna.gz	7.6944	8.5776	98.75	0.404	98.58-99.02	0.404	0.37-0.43	1	1.227	2787/12145	95.36	NZ_CP012507.1 Kocuria palustris strain MU14/1 chromosome, complete genome
human/ERR4605165_1.fastq.gz	refseq/bacteria/GCF_900457375.1/GCF_900457375.1_41556_H01_genomic.fna.gz	6.7869	7.2167	98.91	0.356	98.68-99.20	0.356	0.32-0.38	1	1.199	2440/11223	95.20	NZ_UGZE01000004.1 Staphylococcus arlettae strain NCTC12413, whole genome shotgun sequence
human/ERR4605165_1.fastq.gz	refseq/bacteria/GCF_003860545.1/GCF_003860545.1_ASM386054v1_genomic.fna.gz	3.9164	3.8832	97.14	0.206	96.36-97.71	0.206	0.17-0.26	1	1.108	823/10646	92.07	NZ_CP034173.1 Chryseobacterium taklimakanense strain F9257 chromosome, complete genome
human/ERR4605165_1.fastq.gz	refseq/bacteria/GCF_006094375.1/GCF_006094375.1_ASM609437v1_genomic.fna.gz	3.6366	3.5379	98.14	0.191	97.55-98.60	0.191	0.16-0.23	1	1.105	1034/10390	92.83	NZ_CP035288.1 Staphylococcus epidermidis strain ATCC 14990 chromosome, complete genome
human/ERR4605165_1.fastq.gz	refseq/bacteria/GCF_027925285.1/GCF_027925285.1_ASM2792528v1_genomic.fna.gz	3.5570	5.2885	97.50	0.187	96.92-98.05	0.187	0.16-0.22	1	1.094	1283/16171	92.15	NZ_BSDQ01000001.1 Brachybacterium conglomeratum strain 5-2 sequence1, whole genome shotgun sequence
human/ERR4605165_1.fastq.gz	refseq/bacteria/GCF_022601685.1/GCF_022601685.1_ASM2260168v1_genomic.fna.gz	2.8170	2.7633	95.79	0.148	94.93-96.88	0.148	0.10-0.19	1	1.179	403/10863	89.92	NZ_JAKUML010000025.1 Acinetobacter sedimenti strain A3.8 map unlocalized plasmid unnamed NODE_25_length_25732_cov_300.486104, whole genome shotgun sequence
